"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NEERAJ SHEKHAR","2 - BHARAT SINGH","3 - VIRENDRA KUMAR PATHAK","4 - SUDHA RAI","5 - AFZAL ANSARI","6 - AVADHESH VERMA","7 - COL RETD. BHARAT SINGH SHAURYA CHAKRA","8 - MANNU YADAV","9 - RAMJI","10 - RAMROOP","11 - SUCHIT GOND","12 - BHOLA NATH","13 - MANISH","14 - MANOJ","15 - SHESHNATH","16 - None of the Above","Total Votes Secured"
112,"P.P.AWARAKOLE R.N.1",565,481,0,1046,292,264,0,556,316,0,140,194,13,13,143,2,9,1,0,7,3,3,12,6,3,7,556
113,"P.P.AWARAKOLE R.N.2",568,470,0,1038,318,297,0,615,65,0,33,149,232,19,157,9,6,0,0,2,2,0,2,4,0,0,615
114,"P.P.MUHAMMADPUR KASUM (W.WING)",557,460,0,1017,319,259,0,578,29,0,224,107,148,6,83,2,0,0,0,2,1,1,1,2,0,1,578
115,"P.P.MUHAMMADPUR KASUM (E.WING)",541,436,0,977,275,246,0,521,521,0,35,363,9,8,75,4,1,2,1,1,0,0,10,10,1,1,521
116,"P.P.MUHAMMADPUR KASUM (C)",412,318,0,730,219,177,0,396,194,0,13,178,8,11,141,3,4,2,1,6,1,2,8,10,5,3,396
117,"P.P.MUHAMMADPUR KASUM (NAYA BHAWAN)",655,537,0,1192,352,283,0,635,603,0,82,202,16,28,250,3,0,0,2,19,0,3,11,13,2,4,635
118,"P.P.SIDHAGAR (E.WING)",540,419,0,959,284,218,0,502,198,0,116,199,12,7,121,1,0,0,0,34,1,3,4,0,2,2,502
119,"P.P.SIDHAGAR (W.WING)",533,422,0,955,276,226,0,502,152,0,54,88,125,5,193,4,1,2,2,12,2,2,1,2,1,8,502
120,P.P.BAHARAR,632,556,0,1188,329,287,0,616,2,0,20,277,88,43,126,0,1,3,2,18,3,2,11,13,3,6,616
121,P.P.BIRUKAHI,296,255,0,551,160,144,0,304,284,0,30,157,45,12,45,2,0,0,0,3,2,0,1,5,1,1,304
122,P.P.DURGASTAN,672,517,0,1189,368,349,0,717,700,0,87,116,243,4,242,0,10,0,0,4,0,2,6,1,0,2,717
123,P.P.CHAKASIYA,353,357,0,710,191,230,0,421,421,0,22,59,108,2,209,2,4,0,0,9,0,1,1,2,1,1,421
124,"J.H.SCHOOL MEHARAUD (W.WING)",697,560,0,1257,393,289,0,682,285,0,73,252,18,15,286,2,3,0,0,8,1,9,5,4,1,5,682
125,I.C.SADHAPUR,374,311,0,685,195,191,0,386,2,0,44,112,96,3,121,0,0,0,1,1,0,4,0,0,1,3,386
