state	constituency	votes	candidate	party
Chhattisgarh	Bhanupratappur	64837	MANOJ SINGH MANDAVI	Indian National Congress
Chhattisgarh	Bhanupratappur	49941	SATISH LATIYA	Bharatiya Janata Party
Chhattisgarh	Bhanupratappur	8096	PARMANAND TETA	Independent
Chhattisgarh	Bhanupratappur	3967	KAMAL SINGH KORRAM	Bahujan Samaj Party
Chhattisgarh	Bhanupratappur	3628	DEENDYAL SINGH NARETI	Chattisgarh Swabhiman Manch
Chhattisgarh	Bhanupratappur	1911	BHUNESHWAR NARETI	Shivsena
Chhattisgarh	Bhanupratappur	1703	BHAGWAN SINGH RAWTE	National People’s Party
Chhattisgarh	Bhanupratappur	1238	BHIKHAM KANGE	Gondvana Gantantra Party
Chhattisgarh	Bhanupratappur	5680	None of the Above	None of the Above
Chhattisgarh	Bharatpur-sonhat	42968	CHAMPA DEVI PAWLE	Bharatiya Janata Party
Chhattisgarh	Bharatpur-sonhat	38360	GULAB KAMRO	Indian National Congress
Chhattisgarh	Bharatpur-sonhat	18188	KANAS LAL	Gondvana Gantantra Party
Chhattisgarh	Bharatpur-sonhat	4918	RAVISHANKAR SING KANWAR	Independent
Chhattisgarh	Bharatpur-sonhat	4380	KRISHNA KUMAR CHERWA	Bahujan Samaj Party
Chhattisgarh	Bharatpur-sonhat	2790	SHIVACHARAN	Independent
Chhattisgarh	Bharatpur-sonhat	2370	LALMAN SING NETAM	Independent
Chhattisgarh	Bharatpur-sonhat	983	SANTKUMAR SONWANSHI	Shivsena
Chhattisgarh	Bharatpur-sonhat	3971	None of the Above	None of the Above
Chhattisgarh	Bhatapara	76137	SHIVRATAN SHARMA	Bharatiya Janata Party
Chhattisgarh	Bhatapara	63797	CHAITRAM SAHU	Indian National Congress
Chhattisgarh	Bhatapara	4275	TEEJRAM DHRUW	Independent
Chhattisgarh	Bhatapara	3694	CHANDRAKANT (BABA) YADU	Bahujan Samaj Party
Chhattisgarh	Bhatapara	2071	RESHAM LAL JOGI	Independent
Chhattisgarh	Bhatapara	1590	KETUMAN	Chattisgarh Swabhiman Manch
Chhattisgarh	Bhatapara	1150	SANTARU BANJARE	Independent
Chhattisgarh	Bhatapara	866	GIRJALAL SATNAMI	Independent
Chhattisgarh	Bhatapara	640	MOHAN DHIKDE	Independent
Chhattisgarh	Bhatapara	361	GOPAL DANGCHAGAHA	Asankhya Samaj Party
Chhattisgarh	Bhatapara	333	GIRDHAR BANJARE	Independent
Chhattisgarh	Bhatapara	249	DILIP KUMAR CHELAK	Bharatiya Bahujan Party
Chhattisgarh	Bhatapara	5290	None of the Above	None of the Above
Chhattisgarh	Bhatgaon	67339	PARAS NATH RAJWADE	Indian National Congress
Chhattisgarh	Bhatgaon	59971	RAJNI RAVISHANKAR TRIPATHI	Bharatiya Janata Party
Chhattisgarh	Bhatgaon	8163	RAM ADHIN POYA	Gondvana Gantantra Party
Chhattisgarh	Bhatgaon	5496	NARENDRA KUMAR SAHU (NEETU)	Bahujan Samaj Party
Chhattisgarh	Bhatgaon	3726	COMRADE BAL SINGH	Communist Party of India  (Marxist)
Chhattisgarh	Bhatgaon	2258	HIRALAL SINGH	Independent
Chhattisgarh	Bhatgaon	2130	ARVIND SHARAN SINGH	Independent
Chhattisgarh	Bhatgaon	1933	KUMAIT  SANDIL	National People’s Party
Chhattisgarh	Bhatgaon	1869	PRADEEP KUMAR GUPTA	Independent
Chhattisgarh	Bhatgaon	1534	MOHEET RAM RAJWADE	Independent
Chhattisgarh	Bhatgaon	1472	SHIV KUMAR	Independent
Chhattisgarh	Bhatgaon	890	DURGA YADAV	Janata Dal  (United)
Chhattisgarh	Bhatgaon	842	DILESHWAR RAM RAJWADE	Independent
Chhattisgarh	Bhatgaon	4480	None of the Above	None of the Above
Chhattisgarh	Bhilai Nagar	55654	PREM PRAKASH PANDEY	Bharatiya Janata Party
Chhattisgarh	Bhilai Nagar	38548	BADRUDDIN QURESHI	Indian National Congress
Chhattisgarh	Bhilai Nagar	2229	SUSHIL PANDEY	Chattisgarh Swabhiman Manch
Chhattisgarh	Bhilai Nagar	1580	S. R. NAYADU	Bahujan Samaj Party
Chhattisgarh	Bhilai Nagar	1381	P. VENKAT RAGHURAM	Communist Party of India  (Marxist)
Chhattisgarh	Bhilai Nagar	549	MANISH KUMAR LAHARE	Independent
Chhattisgarh	Bhilai Nagar	534	PAWAN KUMAR AGRAWAL	Independent
Chhattisgarh	Bhilai Nagar	423	BHARAT LAL BANJARE	Independent
Chhattisgarh	Bhilai Nagar	403	SHANNO	Independent
Chhattisgarh	Bhilai Nagar	280	RAJENDRA PARGANIHA	Communist Party of India  (Marxist-Leninist)  (Liberation)
Chhattisgarh	Bhilai Nagar	248	VIJENDRA KUMAR SAHU	Independent
Chhattisgarh	Bhilai Nagar	221	K. N. PREMNATH	Rashtriya Aadiwasi Bahujan Party
Chhattisgarh	Bhilai Nagar	187	JUBAID SIR	Independent
Chhattisgarh	Bhilai Nagar	170	SHEIKH ALTAF HUSSAIN "SALEEM"	Independent
Chhattisgarh	Bhilai Nagar	158	GOVIND BISAI	Independent
Chhattisgarh	Bhilai Nagar	145	MO. IMRAN KHAN	Samajwadi Party
Chhattisgarh	Bhilai Nagar	126	AJEET PAUL	Independent
Chhattisgarh	Bhilai Nagar	89	HARDEV SINGH MEHRA	Hindustan Janta Party
Chhattisgarh	Bhilai Nagar	3390	None of the Above	None of the Above
Chhattisgarh	Bijapur	29578	MAHESH GAGDA	Bharatiya Janata Party
Chhattisgarh	Bijapur	20091	VIKRAM MANDAVI	Indian National Congress
Chhattisgarh	Bijapur	5942	ALWA MADNAIYA	Communist Party of India
Chhattisgarh	Bijapur	2829	NEENA RAWATIYA	Independent
Chhattisgarh	Bijapur	2622	RANGU RAM TELAM	Bahujan Samaj Party
Chhattisgarh	Bijapur	2489	SANTOSH PUNEM	Independent
Chhattisgarh	Bijapur	7179	None of the Above	None of the Above
Chhattisgarh	Bilaigarh	71364	DR. SANAM JANGRE	Bharatiya Janata Party
Chhattisgarh	Bilaigarh	58669	DR. SHIV KUMAR DAHARIYA	Indian National Congress
Chhattisgarh	Bilaigarh	36765	SHYAM TANDAN	Bahujan Samaj Party
Chhattisgarh	Bilaigarh	2310	SHIV CHARAN CHELAK	Independent
