Constituency,Constituency-code,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,State,State-code
Adilabad,1,GODAM NAGESH,Telangana Rashtra Samithi,NARESH,Indian National Congress,171290,Result Declared,Andhra Pradesh,S01
Amalapuram,24,DR PANDULA RAVINDRA BABU,Telugu Desam,PINIPE VISWARUPU,Yuvajana Sramika Rythu Congress Party,120576,Result Declared,Andhra Pradesh,S01
Anakapalli,22,MUTTAMSETTI SRINIVASA RAO (AVANTHI),Telugu Desam,GUDIVADA AMARNADH,Yuvajana Sramika Rythu Congress Party,47932,Result Declared,Andhra Pradesh,S01
Anantapur,36,J.C. DIVAKAR REDDI,Telugu Desam,ANANTHA VENKATARAMIREDDY,Yuvajana Sramika Rythu Congress Party,61269,Result Declared,Andhra Pradesh,S01
Aruku,18,KOTHAPALLI GEETHA,Yuvajana Sramika Rythu Congress Party,GUMMIDI SANDHYARANI,Telugu Desam,91398,Result Declared,Andhra Pradesh,S01
Bapatla,32,MALYADRI SRIRAM,Telugu Desam,VARIKUTI AMRUTHAPANI,Yuvajana Sramika Rythu Congress Party,32754,Result Declared,Andhra Pradesh,S01
Bhongir,14,DR. BOORA NARSAIAH GOUD,Telangana Rashtra Samithi,KOMATIREDDY RAJGOPAL REDDY,Indian National Congress,30494,Result Declared,Andhra Pradesh,S01
CHELVELLA,10,KONDA VISHWESHWAR REDDY,Telangana Rashtra Samithi,PATLOLLA KARTIK REDDY,Indian National Congress,73023,Result Declared,Andhra Pradesh,S01
Chittoor,42,NARAMALLI SIVAPRASAD,Telugu Desam,G.SAMANYAKIRAN,Yuvajana Sramika Rythu Congress Party,44138,Result Declared,Andhra Pradesh,S01
Eluru,27,MAGANTI VENKATESWARA RAO (BABU),Telugu Desam,THOTA CHANDRA SEKHAR,Yuvajana Sramika Rythu Congress Party,101926,Result Declared,Andhra Pradesh,S01
Guntur,30,JAYADEV GALLA,Telugu Desam,BALASHOWRY VALLABHANENI,Yuvajana Sramika Rythu Congress Party,69111,Result Declared,Andhra Pradesh,S01
Hindupur,37,KRISTAPPA NIMMALA,Telugu Desam,DUDDUKUNTA SREEDHAR REDDY,Yuvajana Sramika Rythu Congress Party,97325,Result Declared,Andhra Pradesh,S01
Hyderabad,9,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,DR.BHAGAVANTH RAO,Bharatiya Janata Party,202454,Result Declared,Andhra Pradesh,S01
Kadapa,38,Y.S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,SRINIVASA REDDY REDDEPPAGARI,Telugu Desam,190323,Result Declared,Andhra Pradesh,S01
Kakinada,23,THOTA NARASIMHAM,Telugu Desam,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,3431,Result Declared,Andhra Pradesh,S01
Karimnagar,3,VINOD KUMAR BOINAPALLY,Telangana Rashtra Samithi,PONNAM PRABHAKAR,Indian National Congress,205077,Result Declared,Andhra Pradesh,S01
Khammam,17,PONGULETI  SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party,NAMA NAGESWARA RAO,Telugu Desam,11974,Result Declared,Andhra Pradesh,S01
Kurnool,35,BUTTA RENUKA,Yuvajana Sramika Rythu Congress Party,B.T. NAIDU,Telugu Desam,44131,Result Declared,Andhra Pradesh,S01
Machilipatnam,28,KONAKALLA NARAYANA RAO,Telugu Desam,KOLUSU PARTHA SARATHY,Yuvajana Sramika Rythu Congress Party,81057,Result Declared,Andhra Pradesh,S01
Mahabubabad,16,PROF. AZMEERA SEETARAM NAIK,Telangana Rashtra Samithi,P. BALRAM,Indian National Congress,34992,Result Declared,Andhra Pradesh,S01
Mahbubnagar,11,AP JITHENDER REDDY,Telangana Rashtra Samithi,JAIPAL REDDY SUDINI,Indian National Congress,2590,Result Declared,Andhra Pradesh,S01
Malkajgiri,7,CH.MALLA REDDY,Telugu Desam,HANUMANTH RAO MYNAMPALLY,Telangana Rashtra Samithi,28371,Result Declared,Andhra Pradesh,S01
Medak,6,KALVAKUNTLA CHANDRASEKHAR RAO,Telangana Rashtra Samithi,DR.P. SHRAVAN KUMAR REDDY,Indian National Congress,397029,Result Declared,Andhra Pradesh,S01
Nagarkurnool,12,YELLAIAH NANDI,Indian National Congress,DR. MANDA JAGANNATH,Telangana Rashtra Samithi,16676,Result Declared,Andhra Pradesh,S01
Nalgonda,13,GUTHA SUKHENDER REDDY,Indian National Congress,TERA CHINNAPA REDDY,Telugu Desam,193156,Result Declared,Andhra Pradesh,S01
Nandyal,34,S.P.Y REDDY,Yuvajana Sramika Rythu Congress Party,N.MD.FAROOK,Telugu Desam,105766,Result Declared,Andhra Pradesh,S01
Narasaraopet,31,SAMBASIVA RAO RAYAPATI,Telugu Desam,AYODHYA RAMIREDDY ALLA,Yuvajana Sramika Rythu Congress Party,35280,Result Declared,Andhra Pradesh,S01
Narsapuram,26,GOKARAJU GANGA RAJU,Bharatiya Janata Party,VANKA RAVINDRANATH,Yuvajana Sramika Rythu Congress Party,85351,Result Declared,Andhra Pradesh,S01
Nellore,39,MEKAPATI RAJAMOHAN REDDY,Yuvajana Sramika Rythu Congress Party,ADALA PRABHAKARA REDDY,Telugu Desam,13478,Result Declared,Andhra Pradesh,S01
Nizamabad,4,KALVAKUNTLA KAVITHA,Telangana Rashtra Samithi,MADHU YASKHI GOUD,Indian National Congress,167184,Result Declared,Andhra Pradesh,S01
Ongole,33,Y.V.SUBBA REDDY,Yuvajana Sramika Rythu Congress Party,MAGUNTA SREENIVASULU REDDY,Telugu Desam,15658,Result Declared,Andhra Pradesh,S01
Peddapalle,2,BALKA SUMAN,Telangana Rashtra Samithi,G. VIVEKANAND,Indian National Congress,291158,Result Declared,Andhra Pradesh,S01
Rajahmundry,25,MURALI MOHAN MAGANTI,Telugu Desam,BODDU VENKATARAMANA CHOWDARY,Yuvajana Sramika Rythu Congress Party,167434,Result Declared,Andhra Pradesh,S01
Rajampet,41,P.V.MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,D.  PURANDESWARI,Bharatiya Janata Party,174762,Result Declared,Andhra Pradesh,S01
Secundrabad,8,BANDARU DATTATREYA,Bharatiya Janata Party,M.ANJAN KUMAR YADAV,Indian National Congress,254735,Result Declared,Andhra Pradesh,S01
Srikakulam,19,RAMMOHAN NAIDU KINJARAPU,Telugu Desam,REDDY SHANTHI,Yuvajana Sramika Rythu Congress Party,127572,Result Declared,Andhra Pradesh,S01
Tirupati,40,VARAPRASAD RAO VELAGAPALLI,Yuvajana Sramika Rythu Congress Party,KARUMANCHI JAYARAM,Bharatiya Janata Party,37425,Result Declared,Andhra Pradesh,S01
Vijayawada,29,KESINENI SRINIVAS,Telugu Desam,KONERU RAJENDRA PRASAD,Yuvajana Sramika Rythu Congress Party,74862,Result Declared,Andhra Pradesh,S01
Visakhapatnam,21,KAMBHAMPATI HARI BABU,Bharatiya Janata Party,Y.S VIJAYAMMA,Yuvajana Sramika Rythu Congress Party,90488,Result Declared,Andhra Pradesh,S01
Vizianagaram,20,ASHOK GAJAPATHI RAJU PUSAPATI,Telugu Desam,VENKATA SWETHA CHALAPATHI KUMARA KRISHNA RANGARAO RAVU,Yuvajana Sramika Rythu Congress Party,106911,Result Declared,Andhra Pradesh,S01
Warangal,15,KADIYAM SRIHARI,Telangana Rashtra Samithi,RAJAIAH SIRICILLA,Indian National Congress,392574,Result Declared,Andhra Pradesh,S01
Zahirabad,5,B.B. PATIL,Telangana Rashtra Samithi,SURESH KUMAR SHETKAR,Indian National Congress,144631,Result Declared,Andhra Pradesh,S01
ARUNACHAL EAST,2,NINONG ERING,Indian National Congress,TAPIR GAO,Bharatiya Janata Party,12478,Result Declared,Arunachal Pradesh,S02
ARUNACHAL WEST,1,KIREN RIJIJU,Bharatiya Janata Party,TAKAM SANJOY,Indian National Congress,41738,Result Declared,Arunachal Pradesh,S02
Autonomous District,3,BIREN SINGH ENGTI,Indian National Congress,JOY RAM ENGLENG,Bharatiya Janata Party,24095,Result Declared,Assam,S03
Barpeta,6,SIRAJ UDDIN AJMAL,All India United Democratic Front,CHANDRA MOHAN PATOWARY,Bharatiya Janata Party,42341,Result Declared,Assam,S03
Dhubri,4,BADRUDDIN AJMAL,All India United Democratic Front,WAZED ALI CHOUDHURY,Indian National Congress,229730,Result Declared,Assam,S03
Dibrugarh,13,RAMESWAR TELI,Bharatiya Janata Party,PABAN SINGH GHATOWAR,Indian National Congress,185347,Result Declared,Assam,S03
Gauhati,7,BIJOYA CHAKRAVARTY,Bharatiya Janata Party,MANASH BORAH,Indian National Congress,315784,Result Declared,Assam,S03
Jorhat,12,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,BIJOY KRISHNA HANDIQUE,Indian National Congress,102420,Result Declared,Assam,S03
Kaliabor,11,GOURAV GOGOI,Indian National Congress,MRINAL KUMAR SAIKIA,Bharatiya Janata Party,93874,Result Declared,Assam,S03
Karimganj,1,RADHESHYAM BISWAS,All India United Democratic Front,KRISHNA DAS,Bharatiya Janata Party,102094,Result Declared,Assam,S03
Kokrajhar,5,NABA KUMAR SARANIA (HIRA),Independent,URKHAO GWRA BRAHMA,Independent,355779,Result Declared,Assam,S03
Lakhimpur,14,SARBANANDA SONOWAL,Bharatiya Janata Party,RANEE NARAH,Indian National Congress,292138,Result Declared,Assam,S03
Mangaldoi,8,RAMEN DEKA,Bharatiya Janata Party,KIRIP CHALIHA,Indian National Congress,22884,Result Declared,Assam,S03
Nowgong,10,RAJEN GOHAIN,Bharatiya Janata Party,JONJONALI BARUAH,Indian National Congress,143559,Result Declared,Assam,S03
Silchar,2,SUSHMITA DEV,Indian National Congress,KABINDRA PURKAYASTHA,Bharatiya Janata Party,35241,Result Declared,Assam,S03
Tezpur,9,RAM PRASAD SARMAH,Bharatiya Janata Party,BHUPEN KUMAR BORAH,Indian National Congress,86020,Result Declared,Assam,S03
Araria,9,TASLEEM UDDIN,Rashtriya Janata Dal,PRADEEP KUMAR SINGH,Bharatiya Janata Party,146504,Result Declared,Bihar,S04
Arrah,32,RAJ KUMAR SINGH,Bharatiya Janata Party,SRIBHAGWAN SINGH KUSHWAHA,Rashtriya Janata Dal,135870,Result Declared,Bihar,S04
Aurangabad,37,SUSHIL KUMAR SINGH,Bharatiya Janata Party,NIKHIL KUMAR,Indian National Congress,66347,Result Declared,Bihar,S04
Banka,27,JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,PUTUL KUMARI,Bharatiya Janata Party,10144,Result Declared,Bihar,S04
Begusarai,24,BHOLA SINGH,Bharatiya Janata Party,MD. TANVEER HASSAN,Rashtriya Janata Dal,58335,Result Declared,Bihar,S04
Bhagalpur,26,SHAILESH KUMAR URPH BULO MANDAL,Rashtriya Janata Dal,SYED SHAHNAWAZ HUSSAIN,Bharatiya Janata Party,9485,Result Declared,Bihar,S04
Buxar,33,ASHWINI KUMAR CHOUBEY,Bharatiya Janata Party,JAGADANAND SINGH,Rashtriya Janata Dal,132338,Result Declared,Bihar,S04
Darbhanga,14,KIRTI AZAD,Bharatiya Janata Party,MD. ALI ASHRAF FATMI,Rashtriya Janata Dal,35043,Result Declared,Bihar,S04
Gaya (SC),38,HARI MANJHI,Bharatiya Janata Party,RAMJI MANJHI,Rashtriya Janata Dal,115504,Result Declared,Bihar,S04
Gopalganj (SC),17,JANAK RAM,Bharatiya Janata Party,DR. JYOTI BHARTI,Indian National Congress,286936,Result Declared,Bihar,S04
Hajipur (SC),21,RAMVILAS PASWAN,Lok Jan Shakti Party,SANJEEV PRASAD TONI,Indian National Congress,225500,Result Declared,Bihar,S04
Jahanabad,36,DR. ARUN KUMAR,Rashtriya Lok Samta Party,SURENDRA PRASAD YADAV,Rashtriya Janata Dal,42340,Result Declared,Bihar,S04
Jamui (SC),40,CHIRAG KUMAR PASWAN,Lok Jan Shakti Party,SUDHANSU SHEKHAR BHASKAR,Rashtriya Janata Dal,85947,Result Declared,Bihar,S04
Jhanjharpur,7,BIRENDRA KUMAR CHAUDHARY,Bharatiya Janata Party,MANGANI LAL MANDAL,Rashtriya Janata Dal,55408,Result Declared,Bihar,S04
Karakat,35,UPENDRA KUSHWAHA,Rashtriya Lok Samta Party,KANTI SINGH,Rashtriya Janata Dal,105241,Result Declared,Bihar,S04
Katihar,11,TARIQ ANWAR,Nationalist Congress Party,NIKHIL KUMAR CHOUDHARY,Bharatiya Janata Party,114740,Result Declared,Bihar,S04
Khagaria,25,CHOUDHARY MAHBOOB ALI KAISER,Lok Jan Shakti Party,KRISHNA KUMARI YADAV,Rashtriya Janata Dal,76003,Result Declared,Bihar,S04
Kishanganj,10,MOHAMMAD ASRARUL HAQUE,Indian National Congress,DR DILIP  KUMAR JAISWAL,Bharatiya Janata Party,194612,Result Declared,Bihar,S04
Madhepura,13,RAJESH RANJAN @ PAPPU YADAV,Rashtriya Janata Dal,SHARAD YADAV,Janata Dal  (United),56209,Result Declared,Bihar,S04
Madhubani,6,HUKM DEO NARAYAN YADAV,Bharatiya Janata Party,ABDUL BARI SIDDIQUI,Rashtriya Janata Dal,20535,Result Declared,Bihar,S04
Maharajganj,19,"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,PRABHU NATH SINGH,Rashtriya Janata Dal,38415,Result Declared,Bihar,S04
Munger,28,VEENA DEVI,Lok Jan Shakti Party,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal  (United),109084,Result Declared,Bihar,S04
Muzaffarpur,15,AJAY NISHAD,Bharatiya Janata Party,AKHILESH PD SINGH,Indian National Congress,222422,Result Declared,Bihar,S04
Nalanda,29,KAUSHLENDRA KUMAR,Janata Dal  (United),SATYA NAND SHARMA,Lok Jan Shakti Party,9627,Result Declared,Bihar,S04
Nawada,39,GIRIRAJ SINGH,Bharatiya Janata Party,RAJ BALLABH PRASAD,Rashtriya Janata Dal,140157,Result Declared,Bihar,S04
Paschim Champaran,2,DR. SANJAY JAISWAL,Bharatiya Janata Party,PRAKASH JHA,Janata Dal  (United),110254,Result Declared,Bihar,S04
Pataliputra,31,RAM KRIPAL YADAV,Bharatiya Janata Party,MISHA BHARTI,Rashtriya Janata Dal,40322,Result Declared,Bihar,S04
Patna Sahib,30,SHATRUGHANA SINHA,Bharatiya Janata Party,KUNAL SINGH,Indian National Congress,265805,Result Declared,Bihar,S04
Purnia,12,SANTOSH KUMAR,Janata Dal  (United),UDAY SINGH ALIAS PAPPU SINGH,Bharatiya Janata Party,116669,Result Declared,Bihar,S04
Purvi Champaran,3,RADHA MOHAN SINGH,Bharatiya Janata Party,BINOD KUMAR SRIVASTAVA,Rashtriya Janata Dal,192163,Result Declared,Bihar,S04
Samastipur (SC),23,RAM CHANDRA PASWAN,Lok Jan Shakti Party,DR. ASHOK KUMAR,Indian National Congress,6872,Result Declared,Bihar,S04
Saran,20,RAJIV PRATAP RUDY,Bharatiya Janata Party,RABRI DEVI,Rashtriya Janata Dal,40948,Result Declared,Bihar,S04
Sasaram (SC),34,CHHEDI PASWAN,Bharatiya Janata Party,MEIRA KUMAR,Indian National Congress,63327,Result Declared,Bihar,S04
Sheohar,4,RAMA DEVI,Bharatiya Janata Party,MD ANWARUL HAQUE,Rashtriya Janata Dal,136239,Result Declared,Bihar,S04
Sitamarhi,5,RAM KUMAR SHARMA,Rashtriya Lok Samta Party,SITARAM YADAV,Rashtriya Janata Dal,147965,Result Declared,Bihar,S04
Siwan,18,OM PRAKASH YADAV,Bharatiya Janata Party,HENA SHAHAB,Rashtriya Janata Dal,113847,Result Declared,Bihar,S04
Supaul,8,RANJEET RANJAN,Indian National Congress,DILESHWAR KAMAIT,Janata Dal  (United),59672,Result Declared,Bihar,S04
Ujiarpur,22,NITYANAND RAI,Bharatiya Janata Party,ALOK KUMAR MEHTA,Rashtriya Janata Dal,60469,Result Declared,Bihar,S04
Vaishali,16,RAMA KISHORE SINGH,Lok Jan Shakti Party,RAGHUVANSH PRASAD SINGH,Rashtriya Janata Dal,99267,Result Declared,Bihar,S04
Valmiki Nagar,1,SATISH CHANDRA DUBEY,Bharatiya Janata Party,PURNMASI RAM,Indian National Congress,117793,Result Declared,Bihar,S04
North Goa,1,SHRIPAD YESSO NAIK,Bharatiya Janata Party,RAVI NAIK,Indian National Congress,105599,Result Declared,Goa,S05
South Goa,2,ADV. NARENDRA KESHAV SAWAIKAR,Bharatiya Janata Party,ALEIXO REGINALDO LOURENCO,Indian National Congress,32330,Result Declared,Goa,S05
Ahmedabad East,7,PARESH RAWAL,Bharatiya Janata Party,PATEL HIMMATSINGH PRAHLADSINGH,Indian National Congress,326633,Result Declared,Gujarat,S06
Ahmedabad West,8,DR. KIRIT P SOLANKI,Bharatiya Janata Party,ISHWARBAHI DHANABHAI MAKWANA,Indian National Congress,320311,Result Declared,Gujarat,S06
Amreli,14,KACHHADIYA NARANBHAI BHIKHABHAI,Bharatiya Janata Party,THUMMAR VIRJIBHAI KESHAVBHAI (VIRJIBHAI THUMMAR),Indian National Congress,156232,Result Declared,Gujarat,S06
Anand,16,DILIP PATEL,Bharatiya Janata Party,SOLANKI BHARATBHAI MADHAVSINH,Indian National Congress,63426,Result Declared,Gujarat,S06
Banaskantha,2,CHAUDHARY HARIBHAI PARTHIBHAI,Bharatiya Janata Party,PATEL JOITABHAI KASNABHAI,Indian National Congress,202334,Result Declared,Gujarat,S06
Bardoli,23,VASAVA PARBHUBHAI NAGARBHAI,Bharatiya Janata Party,CHAUDHARI TUSHARBHAI AMARSINHBHAI,Indian National Congress,123884,Result Declared,Gujarat,S06
Bharuch,22,VASAVA MANSUKHBHAI DHANJIBHAI,Bharatiya Janata Party,PATEL JAYESHBHAI AMBALALBHAI (JAYESH KAKA),Indian National Congress,153273,Result Declared,Gujarat,S06
Bhavnagar,15,DR. BHARATIBEN DHIRUBHAI SHIYAL,Bharatiya Janata Party,RATHOD PRAVINBHAI JINABHAI,Indian National Congress,295488,Result Declared,Gujarat,S06
Chhota Udaipur,21,RAMSINH RATHWA,Bharatiya Janata Party,NARANBHAI JEMALABHAI RATHVA,Indian National Congress,179729,Result Declared,Gujarat,S06
Dahod,19,JASVANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,TAVIYAD DR. PRABHABEN KISHORSINH,Indian National Congress,230354,Result Declared,Gujarat,S06
Gandhinagar,6,L.K.ADVANI,Bharatiya Janata Party,KIRITBHAI ISHVARBHAI PATEL,Indian National Congress,483121,Result Declared,Gujarat,S06
Jamnagar,12,POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party,AHIR VIKRAMBHAI ARJANBHAI MADAM,Indian National Congress,175289,Result Declared,Gujarat,S06
Junagadh,13,CHUDASAMA RAJESHBHAI NARANBHAI,Bharatiya Janata Party,PUNJABHAI BHIMABHAI VANSH,Indian National Congress,135832,Result Declared,Gujarat,S06
Kachchh,1,CHAVDA VINOD LAKHAMASHI,Bharatiya Janata Party,DR.DINESH PARMAR,Indian National Congress,254482,Result Declared,Gujarat,S06
Kheda,17,CHAUHAN DEVUSINH JESINGBHAI (CHAUHAN DEVUSINH),Bharatiya Janata Party,DINSHA PATEL,Indian National Congress,232901,Result Declared,Gujarat,S06
Mahesana,4,PATEL JAYSHREEBEN KANUBHAI,Bharatiya Janata Party,PATEL JIVABHAI AMBALAL,Indian National Congress,208891,Result Declared,Gujarat,S06
Navsari,25,C. R. PATIL,Bharatiya Janata Party,MAKSUD MIRZA,Indian National Congress,558116,Result Declared,Gujarat,S06
Panchmahal,18,CHAUHAN PRABHATSINH PRATAPSINH,Bharatiya Janata Party,RAMSINH PARMAR,Indian National Congress,170596,Result Declared,Gujarat,S06
Patan,3,LILADHARBHAI KHODAJI VAGHELA,Bharatiya Janata Party,RATHOD BHAVSINHBHAI DAHYABHAI,Indian National Congress,138719,Result Declared,Gujarat,S06
Porbandar,11,RADADIYA VITHALBHAI  HANSRAJBHAI,Bharatiya Janata Party,JADEJA KANDHALBHAI SARMANBHAI,Nationalist Congress Party,267971,Result Declared,Gujarat,S06
Rajkot,10,KUNDARIYA MOHANBHAI KALYANJIBHAI,Bharatiya Janata Party,KUNVARJIBHAI MOHANBHAI BAVALIYA,Indian National Congress,246428,Result Declared,Gujarat,S06
Sabarkantha,5,RATHOD DIPSINH SHANKARSINH,Bharatiya Janata Party,SHANKERSINH VAGHELA BAPU,Indian National Congress,84455,Result Declared,Gujarat,S06
Surat,24,DARSHANA VIKRAM JARDOSH,Bharatiya Janata Party,DESAI NAISHADHBHAI BHUPATBHAI,Indian National Congress,533190,Result Declared,Gujarat,S06
Surendranagar,9,FATEPARA DEVAJIBHAI GOVINDBHAI,Bharatiya Janata Party,KOLI PATEL SOMABHAI GANDALAL,Indian National Congress,202907,Result Declared,Gujarat,S06
Vadodara,20,NARENDRA MODI,Bharatiya Janata Party,MISTRI MADHUSUDAN DEVRAM,Indian National Congress,570128,Result Declared,Gujarat,S06
Valsad,26,DR. K.C.PATEL,Bharatiya Janata Party,KISHANBHAI  VESTABHAI PATEL,Indian National Congress,208004,Result Declared,Gujarat,S06
Ambala,1,RATTAN LAL KATARIA,Bharatiya Janata Party,RAJ KUMAR BALMIKI,Indian National Congress,340074,Result Declared,Haryana,S07
Bhiwani-Mahendragarh,8,DHARAMBIR S/O BHALE RAM,Bharatiya Janata Party,BAHADUR SINGH,Indian National Lok Dal,129394,Result Declared,Haryana,S07
Faridabad,10,KRISHAN PAL,Bharatiya Janata Party,AVTAR SINGH BHADANA,Indian National Congress,466873,Result Declared,Haryana,S07
Gurgaon,9,INDERJIT SINGH RAO,Bharatiya Janata Party,ZAKIR HUSSAIN,Indian National Lok Dal,274722,Result Declared,Haryana,S07
Hisar,4,DUSHYANT CHAUTALA,Indian National Lok Dal,KULDEEP BISHNOI,Haryana Janhit Congress (BL),31847,Result Declared,Haryana,S07
Karnal,5,ASHWINI KUMAR,Bharatiya Janata Party,ARVIND KUMAR SHARMA,Indian National Congress,360147,Result Declared,Haryana,S07
Kurukshetra,2,RAJ KUMAR SAINI,Bharatiya Janata Party,BALBIR SINGH SAINI,Indian National Lok Dal,129736,Result Declared,Haryana,S07
Rohtak,7,DEEPENDER SINGH HOODA,Indian National Congress,OM PARKASH DHANKAR,Bharatiya Janata Party,170627,Result Declared,Haryana,S07
