Candidate,Party,Votes,State,Constituency,State-code,Constituency-code
KHARAPADE LADAKYA RUPA,Communist Party of India  (Marxist),76890,Maharashtra,Palghar,S13,22
PANDURANG JETHYA PARDHI,Aam Aadmi Party,16182,Maharashtra,Palghar,S13,22
HARIBHAU SOMA VARTHA,Independent,12974,Maharashtra,Palghar,S13,22
DILIP ATMARAM DUMADA,Bahujan Mukti Party,10742,Maharashtra,Palghar,S13,22
GAVARI SHYAM ANANT,Bahujan Samaj Party,8176,Maharashtra,Palghar,S13,22
SACHIN DAMODAR SHINGDA,Independent,7957,Maharashtra,Palghar,S13,22
MOHAN BARKU GUHE,Bharipa Bahujan Mahasangh,6691,Maharashtra,Palghar,S13,22
KASHINATH LAXMAN KOKERA,Independent,4327,Maharashtra,Palghar,S13,22
None of the Above,None of the Above,21797,Maharashtra,Palghar,S13,22
KAPIL MORESHWAR PATIL,Bharatiya Janata Party,411070,Maharashtra,Bhiwandi,S13,23
PATIL VISHWANATH RAMCHANDRA,Indian National Congress,301620,Maharashtra,Bhiwandi,S13,23
SURESH (BALYA MAMA) GOPINATH MHATRE,Maharashtra Navnirman sena,93647,Maharashtra,Bhiwandi,S13,23
ANSARI MUMTAZ ABDUL SATAR,Bahujan Samaj Party,14068,Maharashtra,Bhiwandi,S13,23
MADHUKAR VITTHAL PATIL,Communist Party of India,13720,Maharashtra,Bhiwandi,S13,23
ANSARI JALAL ENGINEER,Aam Aadmi Party,11055,Maharashtra,Bhiwandi,S13,23
SURESH KALURAM JADHAV,Independent,5941,Maharashtra,Bhiwandi,S13,23
HARISHCHANDRA DATTU PATIL,Independent,4058,Maharashtra,Bhiwandi,S13,23
YOGESH MOTIRAM KATHORE,Bharipa Bahujan Mahasangh,3058,Maharashtra,Bhiwandi,S13,23
ENGINEER NAVID BETAB,Independent,2435,Maharashtra,Bhiwandi,S13,23
ANSARI JAHID MUKHTAR,Bahujan Mukti Party,2126,Maharashtra,Bhiwandi,S13,23
SHAH ABRAR AHMED NAZEER,Peace Party,2120,Maharashtra,Bhiwandi,S13,23
ADV. DR. ANITA BALASAHEB KOLEKAR,Prabuddha Republican Party,1376,Maharashtra,Bhiwandi,S13,23
None of the Above,None of the Above,9311,Maharashtra,Bhiwandi,S13,23
DR.SHRIKANT EKNATH SHINDE,Shivsena,440892,Maharashtra,Kalyan,S13,24
ANAND PRAKASH PARANJPE,Nationalist Congress Party,190143,Maharashtra,Kalyan,S13,24
PRAMOD (RAJU) RATAN PATIL,Maharashtra Navnirman sena,122349,Maharashtra,Kalyan,S13,24
NARESH ARVIND THAKUR,Aam Aadmi Party,20347,Maharashtra,Kalyan,S13,24
KIRATKAR DAYANAND TULSHIRAM,Bahujan Samaj Party,19643,Maharashtra,Kalyan,S13,24
ANIL MORE,Bahujan Mukti Party,3531,Maharashtra,Kalyan,S13,24
MOHAMMAD HAMEED SAYYED,Samajwadi Party,3047,Maharashtra,Kalyan,S13,24
MOHAMMED AHMED MUKHTAR KHAN ALIAS AHMED NETA,Independent,2467,Maharashtra,Kalyan,S13,24
SHASHIKANT DADA RASAL,Independent,2096,Maharashtra,Kalyan,S13,24
BHOSALE SHAMU RAMU,Bharipa Bahujan Mahasangh,1869,Maharashtra,Kalyan,S13,24
TELGOTE PRAKASH SHAMRAO,Independent,1600,Maharashtra,Kalyan,S13,24
MOTE CHANDRAKANT RAMBHAJI,Independent,1279,Maharashtra,Kalyan,S13,24
ASMITA PUSHKAR PURANIK,Independent,1243,Maharashtra,Kalyan,S13,24
SULOCHANA DHARMENDRA SONKAMBLE,Republican Bahujan Sena,1229,Maharashtra,Kalyan,S13,24
DILIP PRABHAKAR ALONI (JOSHI),Independent,1222,Maharashtra,Kalyan,S13,24
SHIVA KRISHNAMURTHY IYAR,Independent,788,Maharashtra,Kalyan,S13,24
SUDHAKAR NARAYAN SHINDE,Ambedkarite Party of India,726,Maharashtra,Kalyan,S13,24
BELAMKAR MILIND CHANDRAKANT,Lok Bharati,540,Maharashtra,Kalyan,S13,24
None of the Above,None of the Above,9185,Maharashtra,Kalyan,S13,24
VICHARE RAJAN BABURAO,Shivsena,595364,Maharashtra,Thane,S13,25
SANJEEV GANESH NAIK,Nationalist Congress Party,314065,Maharashtra,Thane,S13,25
ABHIJIT RAMESH PANSE,Maharashtra Navnirman sena,48863,Maharashtra,Thane,S13,25
SANJEEV VISHNU SANE,Aam Aadmi Party,41535,Maharashtra,Thane,S13,25
KIRTAWADE VIDHYADHAR BHIMRAO,Bahujan Samaj Party,10982,Maharashtra,Thane,S13,25
ASHOK SHANKAR JADHAV,Bahujan Mukti Party,4022,Maharashtra,Thane,S13,25
SOHANLAL PUROHIT,Independent,2479,Maharashtra,Thane,S13,25
GOPINATH SAKHARAM MHASKE,Bharipa Bahujan Mahasangh,2412,Maharashtra,Thane,S13,25
NITIN SHANKAR DESHPANDE,Dharmarajya Paksha,2175,Maharashtra,Thane,S13,25
NARENDRA PRABHASHANKAR PANDEY,Independent,2141,Maharashtra,Thane,S13,25
ABHAY SUBRAO KULKARNI,Independent,1891,Maharashtra,Thane,S13,25
SHAFIK AHAMAD SADAT KHAN,Independent,1865,Maharashtra,Thane,S13,25
RAJU SHRAVAN CHAVAN,Republican Bahujan Sena,1681,Maharashtra,Thane,S13,25
NAJAKATALI KABIR ANSARI,Independent,1549,Maharashtra,Thane,S13,25
SALMAN AJIMULLAH HASMI,Rashtriya Aam Party,1402,Maharashtra,Thane,S13,25
QAMRUZZAMAN KUTUBALI MINAI,Peace Party,1196,Maharashtra,Thane,S13,25
TRILOKI GHURAHU YADAV,Independent,1066,Maharashtra,Thane,S13,25
SANJAY DILIP KUMAR DAS,Independent,918,Maharashtra,Thane,S13,25
RAJENDRA GAJBHIYE,Ambedkarite Party of India,905,Maharashtra,Thane,S13,25
SHRINATH MITHANTHAYA,Hindustan Janta Party,891,Maharashtra,Thane,S13,25
VISHAL DINKAR SALVE,Independent,705,Maharashtra,Thane,S13,25
VINOD DEEPCHAND GANGWAL,Independent,650,Maharashtra,Thane,S13,25
JAIN SURENDRAKUMAR K.,Akhil Bharatiya Jan Sangh,641,Maharashtra,Thane,S13,25
RATHOD BABUSINGH VASRAM,Maharashtra Parivartan Sena (T),636,Maharashtra,Thane,S13,25
RAMCHANDRA BHAGOJI GAWADE,Independent,493,Maharashtra,Thane,S13,25
BHANUDAS DHOTARE,Independent,488,Maharashtra,Thane,S13,25
None of the Above,None of the Above,13174,Maharashtra,Thane,S13,25
GOPAL CHINAYYA SHETTY,Bharatiya Janata Party,664004,Maharashtra,Mumbai North,S13,26
SANJAY BRIJKISHORLAL NIRUPAM,Indian National Congress,217422,Maharashtra,Mumbai North,S13,26
SATISH PARASMAL JAIN,Aam Aadmi Party,32364,Maharashtra,Mumbai North,S13,26
YADAV KAMLESH SHOBHNATH,Samajwadi Party,5506,Maharashtra,Mumbai North,S13,26
SINGH ASHOK CHANDRAPAL,Bahujan Samaj Party,5438,Maharashtra,Mumbai North,S13,26
KAPIL KANTILAL SONI,Independent,2078,Maharashtra,Mumbai North,S13,26
ARJUN BALU ARDE,Ambedkarite Party of India,1650,Maharashtra,Mumbai North,S13,26
PRASHANT NARSINH KHARATMAL,Independent,1612,Maharashtra,Mumbai North,S13,26
GONDANE DIVAKAR LAXMAN,Bharipa Bahujan Mahasangh,1539,Maharashtra,Mumbai North,S13,26
NITIN RAVINDRA RAJVARDHAN,Bahujan Mukti Party,796,Maharashtra,Mumbai North,S13,26
SHAIKH FATEH MOHAMMAD,Independent,768,Maharashtra,Mumbai North,S13,26
SAKHARAM PANDURANG DUNGHAV,Maharashtra Parivartan Sena (T),699,Maharashtra,Mumbai North,S13,26
THORAT SUNIL UTTAMRAO,All India Forward Bloc,653,Maharashtra,Mumbai North,S13,26
HAJI AKHTAR PAPERWALA,Independent,626,Maharashtra,Mumbai North,S13,26
ARJUN CHAUDHARY,Independent,556,Maharashtra,Mumbai North,S13,26
MOHAMMAD AKHTAR MEHBOOB SHAIKH,Prabuddha Republican Party,462,Maharashtra,Mumbai North,S13,26
DINESH SHAH,Sardar Vallabhbhai Patel Party,394,Maharashtra,Mumbai North,S13,26
PRABHAKARAN G. TITUS,People's Party of India(secular),331,Maharashtra,Mumbai North,S13,26
SATYAVIJAY VITHOBA CHAVAN,Independent,327,Maharashtra,Mumbai North,S13,26
MILIND SHANKAR REPE,Independent,301,Maharashtra,Mumbai North,S13,26
SUBODH G. RANJAN,Independent,278,Maharashtra,Mumbai North,S13,26
None of the Above,None of the Above,8758,Maharashtra,Mumbai North,S13,26
GAJANAN CHANDRAKANT KIRTIKAR,Shivsena,464820,Maharashtra,Mumbai North West,S13,27
KAMAT GURUDAS VASANT,Indian National Congress,281792,Maharashtra,Mumbai North West,S13,27
MAHESH WAMAN MANJREKAR,Maharashtra Navnirman sena,66088,Maharashtra,Mumbai North West,S13,27
MAYANK RAMESH GANDHI,Aam Aadmi Party,51860,Maharashtra,Mumbai North West,S13,27
BHOLE PUSHPA MILIND,Bahujan Samaj Party,10275,Maharashtra,Mumbai North West,S13,27
RAKHI SAWANT,Rashtriya Aam Party,2006,Maharashtra,Mumbai North West,S13,27
RINA  MAHENDRAKUMAR  ZAVERI,Independent,1530,Maharashtra,Mumbai North West,S13,27
SONKAMBLE  GAJANAN  TUKARAM,Independent,1366,Maharashtra,Mumbai North West,S13,27
MANGESH MADHUKAR HUMNE,Bahujan Mukti Party,1082,Maharashtra,Mumbai North West,S13,27
NITIN H.  KHARE,Independent,1078,Maharashtra,Mumbai North West,S13,27
PRAVIN  CHANDRAKANT  KAURPURIYA,Hindustan Swaraj Congress Party,888,Maharashtra,Mumbai North West,S13,27
MOHAN  GALVANKAR,The Lok Party of India,694,Maharashtra,Mumbai North West,S13,27
PRATIK  PRABHAKAR  TORASKAR,Independent,515,Maharashtra,Mumbai North West,S13,27
VIJAYANAND  SHANKARRAO  SHINDE,Hindusthan Nirman Dal,514,Maharashtra,Mumbai North West,S13,27
None of the Above,None of the Above,11009,Maharashtra,Mumbai North West,S13,27
KIRIT  SOMAIYA,Bharatiya Janata Party,525285,Maharashtra,Mumbai North East,S13,28
SANJAY DINA PATIL,Nationalist Congress Party,208163,Maharashtra,Mumbai North East,S13,28
MEDHA PATKAR,Aam Aadmi Party,76451,Maharashtra,Mumbai North East,S13,28
MATCHINDRA  HANUMANTRAO CHATE,Bahujan Samaj Party,17427,Maharashtra,Mumbai North East,S13,28
PROF. AVINASH DOLAS,Bharipa Bahujan Mahasangh,8833,Maharashtra,Mumbai North East,S13,28
BANSODE DILIP BAPU,Independent,2784,Maharashtra,Mumbai North East,S13,28
SANJAY SAOJI DESHPANDE,Independent,2752,Maharashtra,Mumbai North East,S13,28
FIROZ AHMED SIDDIQUI,Independent,2243,Maharashtra,Mumbai North East,S13,28
TUKARAM BABURAO MANE,Bahujan Mukti Party,1838,Maharashtra,Mumbai North East,S13,28
DEEPAK DIGAMBAR SHINDE,Independent,1359,Maharashtra,Mumbai North East,S13,28
PRAKASH SADASHIV PANCHARAS,Maharashtra Parivartan Sena (T),1325,Maharashtra,Mumbai North East,S13,28
PRASHANT DNYANESHWAR GANGAWANE,Prabuddha Republican Party,1308,Maharashtra,Mumbai North East,S13,28
SAYED GULAMHUSAIN  AMIRHAMZA,Republican Party of India,1012,Maharashtra,Mumbai North East,S13,28
KHAN SHAMIM BANU,Independent,902,Maharashtra,Mumbai North East,S13,28
TUPSOUNDARYA SUNITA MOHAN,Independent,881,Maharashtra,Mumbai North East,S13,28
SABIR MEHANDI HASAN,Independent,626,Maharashtra,Mumbai North East,S13,28
HAYAT ABDULLAH SHAIKH,Indian Union Muslim League,621,Maharashtra,Mumbai North East,S13,28
ADV. AMARSEN BABURAO BABAR,Independent,468,Maharashtra,Mumbai North East,S13,28
ANANDA   SAKHARAM  BHALERAO,Independent,369,Maharashtra,Mumbai North East,S13,28
None of the Above,None of the Above,7114,Maharashtra,Mumbai North East,S13,28
POONAM MAHAJAN ALIAS POONAM VAJENDLA RAO,Bharatiya Janata Party,478535,Maharashtra,Mumbai North central,S13,29
DUTT PRIYA SUNIL,Indian National Congress,291764,Maharashtra,Mumbai North central,S13,29
PHIROZE PALKHIVALA,Aam Aadmi Party,34824,Maharashtra,Mumbai North central,S13,29
SHINDE ANAND VYANKATRAO,Bahujan Samaj Party,10128,Maharashtra,Mumbai North central,S13,29
ABU FARHAN AZMI,Samajwadi Party,9873,Maharashtra,Mumbai North central,S13,29
AZIMUDDIN KHAN,The Lok Party of India,2099,Maharashtra,Mumbai North central,S13,29
SHITAL KUMAR JAIN,Independent,1380,Maharashtra,Mumbai North central,S13,29
DINESH PHULSING RATHOD,Independent,1261,Maharashtra,Mumbai North central,S13,29
MINAKSHI MUKUND JADHAV,Independent,1022,Maharashtra,Mumbai North central,S13,29
SURESH GIGA DABHI,Independent,872,Maharashtra,Mumbai North central,S13,29
GUPTA KANHAIYALAL RAJARAM,Independent,858,Maharashtra,Mumbai North central,S13,29
CHAWAN SURYAKANT GANGARAM,Independent,787,Maharashtra,Mumbai North central,S13,29
BIRJE HEMANT ANANT,All India Forward Bloc,693,Maharashtra,Mumbai North central,S13,29
UMESH SONBA AVHAD,Maharashtra Parivartan Sena (T),657,Maharashtra,Mumbai North central,S13,29
FRANCIS LAWRENCE FERNANDES,Independent,653,Maharashtra,Mumbai North central,S13,29
SANJU VERMA,Independent,626,Maharashtra,Mumbai North central,S13,29
MEHER A. MALLICK,Bahujan Mukti Party,588,Maharashtra,Mumbai North central,S13,29
ASHOK KISAN LOKHANDE,Republican Party of India,581,Maharashtra,Mumbai North central,S13,29
NIYAZ AHMED ALLAUDDIN SHAIKH,Awami Vikas Party,512,Maharashtra,Mumbai North central,S13,29
UPESH M. BARIA,Independent,334,Maharashtra,Mumbai North central,S13,29
MOHAMMED RAFIK HUSSAIN SHAIKH,National Loktantrik Party,308,Maharashtra,Mumbai North central,S13,29
None of the Above,None of the Above,6937,Maharashtra,Mumbai North central,S13,29
RAHUL RAMESH SHEWALE,Shivsena,381014,Maharashtra,Mumbai South central,S13,30
EKNATH M. GAIKWAD,Indian National Congress,242806,Maharashtra,Mumbai South central,S13,30
ADITYA RAJAN SHIRODKAR,Maharashtra Navnirman sena,73043,Maharashtra,Mumbai South central,S13,30
SUNDAR BALAKRISHNAN,Aam Aadmi Party,27700,Maharashtra,Mumbai South central,S13,30
ADV.AIYYAR GANESH,Bahujan Samaj Party,14754,Maharashtra,Mumbai South central,S13,30
ABBAS HUSSAIN SHAIKH,Samajwadi Party,5574,Maharashtra,Mumbai South central,S13,30
NOOR MOHAMMAD SAHEB RAJA KHAN,Independent,1588,Maharashtra,Mumbai South central,S13,30
HUSSAIN AKBAR SAYYED,Bahujan Mukti Party,1428,Maharashtra,Mumbai South central,S13,30
DILIP GAIKWAD,Independent,1338,Maharashtra,Mumbai South central,S13,30
MOIN SOHAIL SAYYED,Independent,1212,Maharashtra,Mumbai South central,S13,30
NAMDEV SAHEBRAO SABLE,Independent,1182,Maharashtra,Mumbai South central,S13,30
ADV.VAISHALI SURENDRA BORDE,Independent,1083,Maharashtra,Mumbai South central,S13,30
ASLAM HANIF KHOT,Peace Party,1018,Maharashtra,Mumbai South central,S13,30
SANGHAPAL HIRACHAND GADEKAR,Ambedkarite Party of India,919,Maharashtra,Mumbai South central,S13,30
MAHENDRA TULSHIRAM BHINGARDIVE,Independent,917,Maharashtra,Mumbai South central,S13,30
CLIFFORD MARTIS,Independent,800,Maharashtra,Mumbai South central,S13,30
MR. NADAR SELVAKUMAR PERIMBRAJ,Independent,683,Maharashtra,Mumbai South central,S13,30
KHAN SIRAJ AHMED,Independent,545,Maharashtra,Mumbai South central,S13,30
GANESH BHIMRAO BUDHE,Independent,513,Maharashtra,Mumbai South central,S13,30
PAL JITENDRA KUMAR,Independent,453,Maharashtra,Mumbai South central,S13,30
SHINDE SARJERAO MAHADEV,Independent,417,Maharashtra,Mumbai South central,S13,30
None of the Above,None of the Above,9539,Maharashtra,Mumbai South central,S13,30
ARVIND SAWANT,Shivsena,352897,Maharashtra,Mumbai   South,S13,31
DEORA MILIND MURLI,Indian National Congress,202549,Maharashtra,Mumbai   South,S13,31
BALA NANDGAONKAR,Maharashtra Navnirman sena,78857,Maharashtra,Mumbai   South,S13,31
MEERA SANYAL,Aam Aadmi Party,34574,Maharashtra,Mumbai   South,S13,31
PRAKASH REDDY,Communist Party of India,6271,Maharashtra,Mumbai   South,S13,31
ABDUS SALAM KHAN  QASMI,Bahujan Samaj Party,6023,Maharashtra,Mumbai   South,S13,31
RATAN DEVRAM BODKE,Independent,1244,Maharashtra,Mumbai   South,S13,31
SACHIN PAWAR,Bahujan Mukti Party,1187,Maharashtra,Mumbai   South,S13,31
FARNANDES SANTAN,Independent,954,Maharashtra,Mumbai   South,S13,31
RAJENDRA DAULAT DESAI,Independent,943,Maharashtra,Mumbai   South,S13,31
SHAHZAD SHAMSHER KHAN PATHAN,Awami Vikas Party,745,Maharashtra,Mumbai   South,S13,31
BASIT FAITH,Independent,688,Maharashtra,Mumbai   South,S13,31
JAHEDA MOHAMMED HANIF SHAIKH,Independent,622,Maharashtra,Mumbai   South,S13,31
BAIG MIRZA KALIM,The Lok Party of India,619,Maharashtra,Mumbai   South,S13,31
DR. OMRAJ L. RATHOD,Independent,617,Maharashtra,Mumbai   South,S13,31
KATARIA JITENDRA KAMABHAI,Independent,541,Maharashtra,Mumbai   South,S13,31
GAURAV SHARMA,Independent,502,Maharashtra,Mumbai   South,S13,31
SHANKAR  SONAWANE,Independent,399,Maharashtra,Mumbai   South,S13,31
SHEHBAJ RATHOD,Jai Maha Bharath Party,367,Maharashtra,Mumbai   South,S13,31
ABDUL LATIF ABDUL KADAR SHAIKH,Independent,349,Maharashtra,Mumbai   South,S13,31
None of the Above,None of the Above,8615,Maharashtra,Mumbai   South,S13,31
ANANT GEETE,Shivsena,396178,Maharashtra,Raigad,S13,32
TATKARE SUNIL DATTATREY,Nationalist Congress Party,394068,Maharashtra,Raigad,S13,32
RAMESHBHAI KADAM,Peasants And Workers Party of India,129730,Maharashtra,Raigad,S13,32
YASHWANT JAYRAM GAIKWAD,Bahujan Samaj Party,10510,Maharashtra,Raigad,S13,32
MUZZAFAR JAINUDDIN CHAUDHARI  ALIAS MODI,Independent,9952,Maharashtra,Raigad,S13,32
SUNIL TATKARE,Independent,9849,Maharashtra,Raigad,S13,32
DR. APARANTI SANJAY YASHWANT,Aam Aadmi Party,6759,Maharashtra,Raigad,S13,32
SANDEEP PANDURANG PARTE,Hindustan Janta Party,4287,Maharashtra,Raigad,S13,32
DR. GHONE ADESH YASHAWANT,Bahujan Mukti Party,3308,Maharashtra,Raigad,S13,32
AZIZ ABDUL KADIR MUKADAM,Samajwadi Party,2763,Maharashtra,Raigad,S13,32
None of the Above,None of the Above,20362,Maharashtra,Raigad,S13,32
APPA ALIAS SHRIRANG CHANDU BARNE,Shivsena,512226,Maharashtra,Maval,S13,33
JAGTAP LAXMANBHAU PANDURANG,Peasants And Workers Party of India,354829,Maharashtra,Maval,S13,33
NARWEKAR RAHUL SURESH,Nationalist Congress Party,182293,Maharashtra,Maval,S13,33
BHAPKAR MARUTI SAHEBRAO,Aam Aadmi Party,30566,Maharashtra,Maval,S13,33
BHIMAPUTRA TEXAS GAIKWAD,Bahujan Samaj Party,25982,Maharashtra,Maval,S13,33
BARNE SHRIRANG CHIMAJI,Janata Dal  (United),11259,Maharashtra,Maval,S13,33
GHARAT SANTOSH ROHIDAS,Bahujan Mukti Party,8940,Maharashtra,Maval,S13,33
JAGTAP LAXMAN SITARAM,Independent,8765,Maharashtra,Maval,S13,33
SIR MANUEL SABINO D'SOUZA,Independent,4311,Maharashtra,Maval,S13,33
NANAWARE PRAMOD MAHADEO,Independent,4276,Maharashtra,Maval,S13,33
SUBHASH GOPALRAO BODHE,Independent,3429,Maharashtra,Maval,S13,33
BHIMRAO ANNA KADALE,Independent,2911,Maharashtra,Maval,S13,33
ADV.VAISHALI SURENDRA BORDE,Independent,2536,Maharashtra,Maval,S13,33
H.B.P.ADV.R.K.PATIL,Independent,2336,Maharashtra,Maval,S13,33
NURJAHAN YASIN SHAIKH,Independent,2024,Maharashtra,Maval,S13,33
RAJENDRA MARUTI KATE,Independent,2016,Maharashtra,Maval,S13,33
SIMA DHARMANNA MANIKADI,Prabuddha Republican Party,1765,Maharashtra,Maval,S13,33
JAGTAP LAXMAN MURLIDHAR,Independent,1600,Maharashtra,Maval,S13,33
ABHIJIT ANIL APTE,Independent,1085,Maharashtra,Maval,S13,33
None of the Above,None of the Above,11186,Maharashtra,Maval,S13,33
ANIL SHIROLE,Bharatiya Janata Party,569825,Maharashtra,Pune,S13,34
DR.VISHWAJEET PATANGRAO KADAM,Indian National Congress,254056,Maharashtra,Pune,S13,34
DEEPAK NATHARAM PAIGUDE,Maharashtra Navnirman sena,93502,Maharashtra,Pune,S13,34
WARE SUBHASH SHANKARRAO,Aam Aadmi Party,28657,Maharashtra,Pune,S13,34
IMTIYAZ PEERZADE,Bahujan Samaj Party,14727,Maharashtra,Pune,S13,34
ARUN BHATIA,Peoples Guardian,7222,Maharashtra,Pune,S13,34
DAMBALE RAHUL DHARMA,Independent,2259,Maharashtra,Pune,S13,34
COLONEL JAYANTRAO CHITALE,Independent,1884,Maharashtra,Pune,S13,34
NANA KSHIRSAGAR,Bharipa Bahujan Mahasangh,1797,Maharashtra,Pune,S13,34
COL SURESH PATIL (RTD),Bahujan Mukti Party,1324,Maharashtra,Pune,S13,34
DEVKULE BIBHISHAN JAGANNATH,Independent,1230,Maharashtra,Pune,S13,34
SAIYYAD AFSER  IBRAHIM,Samajwadi Party,1131,Maharashtra,Pune,S13,34
MANCHAK TRIMBAKRAO KARALE,Independent,1028,Maharashtra,Pune,S13,34
SHIVAJI  PANDURANG ADHAV,Independent,868,Maharashtra,Pune,S13,34
NILESH DHANAVE,Independent,840,Maharashtra,Pune,S13,34
DINESH PANDURANG PAWAR,Independent,692,Maharashtra,Pune,S13,34
SUSHAMA PANDURANG GAIKWAD,Independent,590,Maharashtra,Pune,S13,34
ASHAPAK SHAIKH,Independent,585,Maharashtra,Pune,S13,34
SANTOSH PAWAR,Independent,565,Maharashtra,Pune,S13,34
BANSODE CHAYYA TUKARAM,Independent,512,Maharashtra,Pune,S13,34
UMESH BHUJANG MASANKHAMB,Independent,494,Maharashtra,Pune,S13,34
SANJAY LAXMAN PADWAL,Bhartiya Navjawan Sena (Paksha),477,Maharashtra,Pune,S13,34
YADAV GANGADHAR NATHU,Independent,455,Maharashtra,Pune,S13,34
KHIRID SIMKUMAR BHAGWAN,Independent,380,Maharashtra,Pune,S13,34
RUPALI TAMBOLI,Independent,378,Maharashtra,Pune,S13,34
SHASHIKANT BHIKAJI OWHAL,Independent,359,Maharashtra,Pune,S13,34
AZAM VAKIL MANIYAR,Independent,353,Maharashtra,Pune,S13,34
AJAY VASANT PAITHANKAR,Independent,343,Maharashtra,Pune,S13,34
VIJAY LAXMAN SARODE,Independent,303,Maharashtra,Pune,S13,34
None of the Above,None of the Above,6438,Maharashtra,Pune,S13,34
SUPRIYA SULE,Nationalist Congress Party,521562,Maharashtra,Baramati,S13,35
MAHADEV JAGANNATH JANKAR,Rashtriya Samaj Paksha,451843,Maharashtra,Baramati,S13,35
SURESH KHOPADE,Aam Aadmi Party,26396,Maharashtra,Baramati,S13,35
CHAUDHARI KALURAM VINAYAK,Bahujan Samaj Party,24908,Maharashtra,Baramati,S13,35
TATYASAHEB SITARAM TELE,Janata Dal  (Secular),8811,Maharashtra,Baramati,S13,35
RAVINDRA TAKALE,Bahujan Mukti Party,7845,Maharashtra,Baramati,S13,35
KOKARE SHIVAJI JAYSING,Independent,4739,Maharashtra,Baramati,S13,35
SURESHDADA BABURAO VEER,Independent,3345,Maharashtra,Baramati,S13,35
MAHADIK PRALHAD DAGADU,Independent,2891,Maharashtra,Baramati,S13,35
None of the Above,None of the Above,14216,Maharashtra,Baramati,S13,35
ADHALRAO SHIVAJI DATTATREY,Shivsena,643415,Maharashtra,Shirur,S13,36
NIKAM DEVDATTA JAYWANT,Nationalist Congress Party,341601,Maharashtra,Shirur,S13,36
ASHOK SHIRPATI KHANDEBHARAD,Maharashtra Navnirman sena,36448,Maharashtra,Shirur,S13,36
WAGHMARE SARJERAO BHIKA,Bahujan Samaj Party,19783,Maharashtra,Shirur,S13,36
NIKAM SOPANRAO PANDHARINATH,Aam Aadmi Party,16663,Maharashtra,Shirur,S13,36
SONALI CHANDRASHEKHAR THORAT,Independent,3850,Maharashtra,Shirur,S13,36
MILINDRAJE DIGAMBAR BHOSALE,Independent,3258,Maharashtra,Shirur,S13,36
DAMBALE RAM  DHARMA,Independent,2433,Maharashtra,Shirur,S13,36
NILESH YASHWANT MHASKULE,Independent,2118,Maharashtra,Shirur,S13,36
BAJARE SITARAM NAMDEO (BABA),Bahujan Mukti Party,1933,Maharashtra,Shirur,S13,36
GEETARAM RAMCHANDRA KADAM,Socialist Party (India),1906,Maharashtra,Shirur,S13,36
KATORE MAHADEV NIWRITTI,Independent,1792,Maharashtra,Shirur,S13,36
VIKAS SUDAM KUSEKAR,All India Forward Bloc,1174,Maharashtra,Shirur,S13,36
UMESH ARJUN KANCHAN,Independent,1137,Maharashtra,Shirur,S13,36
None of the Above,None of the Above,11995,Maharashtra,Shirur,S13,36
GANDHI DILIPKUMAR MANSUKHLAL,Bharatiya Janata Party,605185,Maharashtra,Ahmadnagar,S13,37
RAJEEV APPASAHEB RAJALE,Nationalist Congress Party,396063,Maharashtra,Ahmadnagar,S13,37
KOLSEPATIL BABAN GANGADHAR,Independent,12683,Maharashtra,Ahmadnagar,S13,37
KAKADE KISAN YASHWANT,Bahujan Samaj Party,8386,Maharashtra,Ahmadnagar,S13,37
DEEPALI SAYYED,Aam Aadmi Party,7120,Maharashtra,Ahmadnagar,S13,37
H.B.P. AJAY SAHEBRAO BARASKAR MAHARAJ,Bahujan Mukti Party,6003,Maharashtra,Ahmadnagar,S13,37
SHRIDHAR JAKHUJI DAREKAR,Independent,5649,Maharashtra,Ahmadnagar,S13,37
LAXMAN BHANUDAS SONALE,Independent,3497,Maharashtra,Ahmadnagar,S13,37
ANIL JAYSING GHANVAT,Independent,3086,Maharashtra,Ahmadnagar,S13,37
PETRAS KISAN GAWARE,Independent,2525,Maharashtra,Ahmadnagar,S13,37
DESHMUKH VIKAS NANASAHEB,Independent,2202,Maharashtra,Ahmadnagar,S13,37
DAMALE SHIVAJIRAO WAMAN,Bhartiya Navjawan Sena (Paksha),1385,Maharashtra,Ahmadnagar,S13,37
POPAT MANIK FULE,Maharashtra Parivartan Sena (T),1061,Maharashtra,Ahmadnagar,S13,37
None of the Above,None of the Above,7473,Maharashtra,Ahmadnagar,S13,37
LOKHANDE SADASHIV KISAN,Shivsena,532936,Maharashtra,Shirdi,S13,38
BHAUSAHEB RAJARAM WAKCHAURE,Indian National Congress,333014,Maharashtra,Shirdi,S13,38
NITIN NAVNATH UDMALE,Aam Aadmi Party,11580,Maharashtra,Shirdi,S13,38
ADV. MAHENDRA DADASAHEB SHINDE,Bahujan Samaj Party,10381,Maharashtra,Shirdi,S13,38
SANTOSH MADHUKAR ROHAM,Bahujan Mukti Party,9296,Maharashtra,Shirdi,S13,38
SHENDE RAVINDRA VITTHAL,Independent,4728,Maharashtra,Shirdi,S13,38
BALASAHEB DASHRATH BAGUL,Independent,4319,Maharashtra,Shirdi,S13,38
RAGHUNATH RAMJI MAKASARE,Bharipa Bahujan Mahasangh,3193,Maharashtra,Shirdi,S13,38
SAYAJI SHANKAR KHARAT,Independent,2954,Maharashtra,Shirdi,S13,38
