"AC Name","State","male 18-19","female 18-19","others 18-19","total 18-19","gender roll ratio","electors with EPIC","EPIC percent","electors with photo","PER Percent","male above 18","female above 18","others above 18","total above 18"
"Chintalapudi","Andhra Pradesh",3135,2150,1,5286,"1005 ","230026 ",100.00,"230026 ",100.00,114726,115287,13,230026
"Tiruvuru","Andhra Pradesh",2145,1349,2,3496,"992 ","180849 ",100.00,"180849 ",100.00,90799,90038,12,180849
"Nuzvid","Andhra Pradesh",2186,1391,3,3580,"989 ","209192 ",100.00,"209192 ",100.00,105161,104011,20,209192
"Gannavaram","Andhra Pradesh",3856,3007,4,6867,"1029 ","221540 ",100.00,"221540 ",100.00,109179,112343,18,221540
"Gudivada","Andhra Pradesh",2210,1754,1,3965,"1039 ","189459 ",100.00,"189459 ",100.00,92896,96554,9,189459
"Kaikalur","Andhra Pradesh",2697,1818,2,4517,"1002 ","186025 ",100.00,"186025 ",100.00,92926,93087,12,186025
"Pedana","Andhra Pradesh",1768,1053,0,2821,"1005 ","153037 ",100.00,"153037 ",100.00,76311,76720,6,153037
"Machilipatnam","Andhra Pradesh",1931,1384,0,3315,"1036 ","171433 ",100.00,"171433 ",100.00,84195,87235,3,171433
"Avanigadda","Andhra Pradesh",2405,1608,7,4020,"1010 ","193390 ",100.00,"193390 ",100.00,96225,97145,20,193390
"Pamarru","Andhra Pradesh",2085,1492,1,3578,"1022 ","168964 ",100.00,"168964 ",100.00,83559,85393,12,168964
"Penamaluru","Andhra Pradesh",3058,2370,0,5428,"1023 ","226470 ",100.00,"226470 ",100.00,111919,114538,13,226470
"Vijaywada West","Andhra Pradesh",2736,1899,4,4639,"977 ","212584 ",100.00,"212584 ",100.00,107544,105019,21,212584
"Vijayawada central","Andhra Pradesh",2695,2162,1,4858,"1007 ","231184 ",100.00,"231184 ",100.00,115191,115966,27,231184
"Vijayawada East","Andhra Pradesh",3287,2629,8,5924,"987 ","250493 ",100.00,"250493 ",100.00,126037,124435,21,250493
"Mylavaram","Andhra Pradesh",3073,2122,0,5195,"1002 ","225600 ",100.00,"225600 ",100.00,112658,112936,6,225600
"Nandigama","Andhra Pradesh",2171,1421,8,3600,"1024 ","178472 ",100.00,"178472 ",100.00,88159,90289,24,178472
"Jaggayyapeta","Andhra Pradesh",2397,1659,0,4056,"1048 ","177554 ",100.00,"177554 ",100.00,86693,90849,12,177554
"Pedakurapadu","Andhra Pradesh",2263,1566,0,3829,"1013 ","197396 ",100.00,"197396 ",100.00,98081,99309,6,197396
"Tadikonda (SC)","Andhra Pradesh",1951,1325,2,3278,"1027 ","175599 ",100.00,"175599 ",100.00,86632,88960,7,175599
"Mangalagiri","Andhra Pradesh",2902,2113,2,5017,"1025 ","222321 ",100.00,"222321 ",100.00,109776,112531,14,222321
"Ponnur","Andhra Pradesh",2614,1885,0,4499,"1046 ","201189 ",100.00,"201189 ",100.00,98351,102830,8,201189
"Vemuru (SC)","Andhra Pradesh",1672,1154,0,2826,"1034 ","180875 ",100.00,"180875 ",100.00,88908,91963,4,180875
"Repalle","Andhra Pradesh",2094,1333,5,3432,"1019 ","204021 ",100.00,"204021 ",100.00,101022,102981,18,204021
"Tenali","Andhra Pradesh",3081,2598,2,5681,"1047 ","225633 ",100.00,"225633 ",100.00,110207,115405,21,225633
