Sno,Candidate ID,ST_CODE,PC_CODE,ST_NAME,PC_NAME,Constituency,Candidate,Party,Criminal Case,Education,Assets,Liabilities
2027,595,S26,4,CHHATTISGARH,KORBA,Korba,FULESHWAR PRASAD SURJAIHA,IND,0,Not Given,0,0
2051,6441,S10,27,KARNATAKA,CHIKKBALLAPUR,Chikkballapur,G.N. RAVI,IND,0,Not Given,0,"1,00,000"
2086,1083,S01,11,ANDHRA PRADESH,MAHBUBNAGAR,Mahbubnagar,Gajju Pedda Narsimhulu,IND,0,Not Given,0,0
2101,1449,S10,26,KARNATAKA,BANGALORE SOUTH,Bangalore South,GANESH HANUMANTARAO MOKHASHI,IND,0,Not Given,0,0
2106,4891,S25,36,WEST BENGAL,BANKURA,Bankura,Ganesh Ray,BSP,0,10th Pass,0,0
2111,2665,S10,18,KARNATAKA,CHITRADURGA,Chitradurga,GANESHA,IND,0,Not Given,0,0
2121,169,S13,7,MAHARASHTRA,AMRAVATI,Amravati,GANGADHAR GADE,BSP,0,Not Given,0,0
2123,1885,S24,72,UTTAR PRADESH,BALLIA,Ballia,GANGADYAL,IND,0,8th Pass,0,0
2125,1082,S01,11,ANDHRA PRADESH,MAHBUBNAGAR,Mahbubnagar,Gangapuri Ravinder Goud,IND,0,Not Given,0,0
2126,497,S26,6,CHHATTISGARH,RAJNANDGAON,Rajnandgaon,Gangaram Nishad,EKSP,0,Not Given,0,0
2130,3723,S13,41,MAHARASHTRA,LATUR,Latur,GANNE TUKARAM RAMBHAU,JSS,0,Not Given,0,0
2133,3770,S13,44,MAHARASHTRA,SANGLI,Sangli,GANPATI TUKARAM KAMBLE ALIAS G.T. KAMBLE,IND,0,Graduate,0,0
2135,205,S13,11,MAHARASHTRA,BHANDARA-GONDIYA,Bhandara-Gondiya,GANVIR SHIVKUMAR NAGARCHI,CPI,0,Not Given,0,0
2171,7858,S09,1,JAMMU & KASHMIR,BARAMULLA,Baramulla,GH NABI PARRAY,RPI(A),0,12th Pass,0,0
2189,4672,S01,23,ANDHRA PRADESH,KAKINADA,Kakinada,Gidla Simhachalam,RDMP,0,Graduate Professional,0,0
2206,9095,S22,25,TAMIL NADU,PERAMBALUR,Perambalur,"GNANAPRAGASHAM, P.S.",IND,0,Not Given,0,0
2209,4846,S25,6,WEST BENGAL,BALURGHAT,Balurghat,Gobinda Hansda,BSP,0,Not Given,0,0
2284,2580,S06,14,GUJARAT,AMRELI,Amreli,GULMOHAMMAD ISMAIL KHOKHHOR,IND,0,10th Pass,0,0
2287,9117,S22,28,TAMIL NADU,MAYILADUTHURAI,Mayiladuthurai,GUNASEKARAN N,CPI(ML)(L),0,Not Given,0,0
2288,9167,S22,31,TAMIL NADU,SIVAGANGA,Sivaganga,GUNASEKARAN P,IND,0,Not Given,0,0
2293,761,S13,15,MAHARASHTRA,HINGOLI,Hingoli,GUNDEKAR SANJAY ADELU,IND,0,Not Given,0,0
2297,3675,S13,39,MAHARASHTRA,BEED,Beed,GURAV KALYAN BHANUDAS,RKSP,1,10th Pass,0,0
2298,7962,S19,7,PUNJAB,LUDHIANA,Ludhiana,GURCHARAN SINGH,IND,0,10th Pass,0,0
2325,1684,S10,24,KARNATAKA,BANGALORE NORTH,Bangalore North,H Pillaiah,IND,0,8th Pass,0,0
2330,5949,S10,13,KARNATAKA,DAVANAGERE,Davanagere,H. NAGARAJ PALEGARA,IND,0,10th Pass,0,0
2495,4777,S25,1,WEST BENGAL,COOCHBEHAR,Coochbehar,Hitendra Das,IND,0,8th Pass,0,"25,000"
2522,1746,S10,25,KARNATAKA,BANGALORE CENTRAL,Bangalore Central,Ifthaquar Ali Bhutto,ANC,0,10th Pass,0,0
2529,1123,S01,18,ANDHRA PRADESH,ARAKU,Araku,Illa Rami Reddy,IND,0,Literate,0,0
2564,3476,S13,4,MAHARASHTRA,RAVER,Raver,IQBAL ALAUDDIN TADVI,IND,0,Literate,0,0
2577,3563,S13,33,MAHARASHTRA,MAVAL,Maval,ISHWAR DATTATRAY JADHAV,IND,0,Literate,0,0
2587,1034,S01,7,ANDHRA PRADESH,MALKAJGIRI,Malkajgiri,J Bhaskar,IND,0,Not Given,0,0
2639,6245,S20,8,RAJASTHAN,ALWAR,Alwar,JAGDISH,BHBP,0,Graduate,0,0
2681,1670,S11,20,KERALA,THIRUVANANTHAPURAM,Thiruvananthapuram,Jain Wilson,IND,0,Not Given,0,0
2687,1393,S13,11,MAHARASHTRA,BHANDARA-GONDIYA,Bhandara-Gondiya,JAISWAL VIRENDRAKUMAR KASTURCHAND,BSP,0,Not Given,0,0
2696,1397,S13,11,MAHARASHTRA,BHANDARA-GONDIYA,Bhandara-Gondiya,JAMAIWAR SUNIL PARASRAM,RSP,0,Not Given,0,0
2712,1381,S24,65,UTTAR PRADESH,KUSHI NAGAR,Kushi Nagar,JANGI,SBSP,2,Not Given,0,0
2753,845,S04,33,BIHAR,BUXAR,Buxar,Jay singh yadav,IND,0,Not Given,0,0
