ID,Key,Type,Value,Year
3109,353,IPC,2,2014
3109,352,IPC,2,2014
3109,144,IPC,2,2014
3109,323,IPC,1,2014
3624,467,IPC,1,2014
3624,468,IPC,1,2014
3624,420,IPC,1,2014
3624,465,IPC,1,2014
3624,471,IPC,1,2014
3624,34,IPC,1,2014
787,498,IPC,1,2014
787,506,IPC,1,2014
787,34,IPC,1,2014
2416,323,IPC,1,2014
2416,341,IPC,1,2014
2416,342,IPC,1,2014
2416,427,IPC,1,2014
2416,34,IPC,1,2014
621,435,IPC,1,2014
621,325,IPC,1,2014
621,371,IPC,1,2014
621,147,IPC,1,2014
621,148,IPC,1,2014
621,149,IPC,1,2014
621,341,IPC,1,2014
621,337,IPC,1,2014
621,427,IPC,1,2014
621,353,IPC,1,2014
621,109,IPC,1,2014
2915,506,IPC,1,2014
2915,353,IPC,1,2014
2915,294,IPC,1,2014
3338,406,IPC,1,2014
3340,153,IPC,1,2014
3340,505,IPC,1,2014
3340,298,IPC,1,2014
3392,138,IPC,1,2014
3392,188,IPC,1,2014
418,171,IPC,1,2014
418,332,IPC,1,2014
418,506,IPC,1,2014
418,143,IPC,1,2014
418,188,IPC,1,2014
418,353,IPC,1,2014
418,504,IPC,1,2014
7617,324,IPC,1,2014
3677,452,IPC,1,2014
3677,117,IPC,1,2014
3677,34,IPC,1,2014
3677,143,IPC,1,2014
3677,147,IPC,1,2014
3677,148,IPC,1,2014
3677,149,IPC,1,2014
3677,427,IPC,1,2014
3113,394,IPC,1,2014
3113,411,IPC,1,2014
490,500,IPC,3,2014
490,120,IPC,2,2014
490,499,IPC,1,2014
490,501,IPC,1,2014
1052,500,IPC,4,2014
1052,499,IPC,2,2014
1052,501,IPC,2,2014
1052,469,IPC,1,2014
1052,447,IPC,1,2014
1052,186,IPC,1,2014
1052,503,IPC,1,2014
352,232,IPC,1,2014
352,324,IPC,1,2014
352,143,IPC,1,2014
352,341,IPC,1,2014
352,147,IPC,1,2014
352,149,IPC,1,2014
352,353,IPC,1,2014
352,186,IPC,1,2014
352,135,IPC,1,2014
1113,452,IPC,1,2014
1113,435,IPC,1,2014
1113,147,IPC,1,2014
1113,148,IPC,1,2014
1113,144,IPC,1,2014
1113,353,IPC,1,2014
1113,323,IPC,1,2014
1113,427,IPC,1,2014
1487,135,IPC,1,2014
3002,327,IPC,1,2014
3002,506,IPC,1,2014
3002,294,IPC,1,2014
3002,323,IPC,1,2014
3002,427,IPC,1,2014
3535,304,IPC,1,2014
3535,143,IPC,1,2014
3535,147,IPC,1,2014
7614,406,IPC,1,2014
7614,34,IPC,1,2014
3870,138,IPC,1,2014
3870,142,IPC,1,2014
1272,153,IPC,1,2014
1272,188,IPC,1,2014
7560,323,IPC,1,2014
7219,363,IPC,1,2014
7219,420,IPC,1,2014
7219,171,IPC,1,2014
2162,324,IPC,1,2014
2162,307,IPC,1,2014
2162,506,IPC,1,2014
2162,171,IPC,5,2014
2162,34,IPC,2,2014
2162,143,IPC,1,2014
2162,147,IPC,1,2014
2162,148,IPC,1,2014
2162,120,IPC,1,2014
2162,427,IPC,1,2014
2162,447,IPC,1,2014
288,232,IPC,1,2014
288,324,IPC,1,2014
288,326,IPC,1,2014
288,307,IPC,1,2014
288,283,IPC,2,2014
288,147,IPC,1,2014
288,148,IPC,1,2014
288,188,IPC,1,2014
288,353,IPC,1,2014
288,149,IPC,1,2014
3783,506,IPC,1,2014
3783,353,IPC,1,2014
3783,504,IPC,1,2014
3783,34,IPC,1,2014
399,420,IPC,7,2014
399,406,IPC,6,2014
399,468,IPC,6,2014
399,405,IPC,4,2014
399,466,IPC,1,2014
399,409,IPC,1,2014
399,120,IPC,8,2014
399,471,IPC,6,2014
399,463,IPC,5,2014
399,465,IPC,4,2014
399,464,IPC,1,2014
399,169,IPC,1,2014
399,177,IPC,1,2014
399,109,IPC,1,2014
1306,147,IPC,1,2014
1306,148,IPC,1,2014
1306,188,IPC,1,2014
1306,33,IPC,1,2014
1306,323,IPC,1,2014
4316,307,IPC,1,2014
4316,332,IPC,1,2014
4316,436,IPC,1,2014
4316,147,IPC,2,2014
4316,148,IPC,2,2014
4316,336,IPC,2,2014
4316,353,IPC,2,2014
4316,427,IPC,2,2014
4316,149,IPC,1,2014
4316,352,IPC,1,2014
4316,323,IPC,1,2014
4088,153,IPC,1,2014
4088,153,IPC,1,2014
4088,120,IPC,1,2014
4088,109,IPC,1,2014
6326,143,IPC,1,2014
6326,188,IPC,1,2014
3315,143,IPC,1,2014
3315,283,IPC,1,2014
3315,290,IPC,1,2014
3315,186,IPC,1,2014
3315,156,IPC,1,2014
5915,332,IPC,4,2014
5915,324,IPC,2,2014
5915,365,IPC,1,2014
5915,506,IPC,1,2014
5915,143,IPC,4,2014
5915,145,IPC,4,2014
5915,147,IPC,4,2014
5915,149,IPC,4,2014
5915,353,IPC,3,2014
5915,148,IPC,3,2014
5915,341,IPC,3,2014
5915,120,IPC,3,2014
5915,427,IPC,2,2014
5915,342,IPC,1,2014
5915,343,IPC,1,2014
5915,323,IPC,1,2014
5915,144,IPC,1,2014
5915,141,IPC,1,2014
7033,388,IPC,1,2014
7033,332,IPC,1,2014
7033,307,IPC,1,2014
7033,147,IPC,1,2014
7033,148,IPC,1,2014
7033,353,IPC,1,2014
7033,336,IPC,1,2014
7174,143,IPC,1,2014
7174,188,IPC,1,2014
7174,353,IPC,1,2014
4001,387,IPC,1,2014
4001,307,IPC,1,2014
4001,381,IPC,1,2014
4001,147,IPC,2,2014
4001,148,IPC,2,2014
4001,149,IPC,2,2014
4001,323,IPC,1,2014
4001,342,IPC,1,2014
4001,353,IPC,1,2014
5979,332,IPC,1,2014
5979,143,IPC,1,2014
5979,147,IPC,1,2014
5979,148,IPC,1,2014
5979,149,IPC,1,2014
5979,353,IPC,1,2014
5979,427,IPC,1,2014
1234,379,IPC,1,2014
1234,341,IPC,1,2014
1234,323,IPC,1,2014
1234,504,IPC,1,2014
2879,435,IPC,2,2014
2879,324,IPC,1,2014
2879,307,IPC,1,2014
2879,327,IPC,1,2014
2879,411,IPC,1,2014
2879,379,IPC,1,2014
2879,147,IPC,3,2014
2879,341,IPC,3,2014
2879,353,IPC,3,2014
2879,143,IPC,2,2014
2879,148,IPC,2,2014
2879,149,IPC,2,2014
2879,417,IPC,1,2014
2879,357,IPC,1,2014
2879,509,IPC,1,2014
2879,184,IPC,1,2014
2879,504,IPC,1,2014
2879,427,IPC,1,2014
2879,290,IPC,1,2014
2879,447,IPC,1,2014
2879,188,IPC,1,2014
2879,144,IPC,1,2014
2879,342,IPC,1,2014
2879,323,IPC,1,2014
1767,325,IPC,3,2014
1767,326,IPC,3,2014
1767,307,IPC,3,2014
1767,302,IPC,3,2014
1767,328,IPC,1,2014
1767,147,IPC,3,2014
1767,148,IPC,3,2014
1767,149,IPC,3,2014
1767,353,IPC,3,2014
1767,186,IPC,3,2014
1767,427,IPC,3,2014
1767,323,IPC,2,2014
4796,138,IPC,1,2014
3356,506,IPC,1,2014
3356,448,IPC,1,2014
3356,355,IPC,1,2014
3356,504,IPC,1,2014
3356,188,IPC,1,2014
3219,431,IPC,1,2014
3219,119,IPC,1,2014
3219,143,IPC,1,2014
3219,341,IPC,1,2014
3219,294,IPC,1,2014
3219,114,IPC,1,2014
