Candidate,Constituency,Criminal Cases,Education,ID,Party,Sno,Total Assets,Total Liabilities,Year
DAULATRAM PAINSIYA,Churu,0,Graduate,3187,BSP,733,724000,0,2004
DAVA PENCHALA RAO,Nellore,0,Others,187,IND,734,100000,24500,2004
DAVKHARE VASANT SHANKARRAO,Thane,0,Graduate,2663,NCP,735,30892402,0,2004
Dawa Narbula,Darjeeling,0,Post Graduate,5219,INC,736,7065000,200000,2004
DAYA CHAND KATARIA,Araria,1,12th Pass,428,IND,737,2176167,93810,2004
DAYANANDA BORGOHAIN,Jorhat,0,Doctorate,354,BJP,738,1510000,90000,2004
DAYANIDHI MARAN,Madras Central,0,Graduate,3430,DMK,739,14420628,0,2004
Deb Prasad Kundu ( Tara),Bankura,0,8th Pass,5105,AITC,740,2306658,172959,2004
DEBAJE ABUJI ALIES PRALHADRAO ASHRUJI,Washim,0,10th Pass,2690,IND,741,200000,0,2004
DEBENDRA KUMAR BISWAL,Bolangir,0,Post Graduate,2886,BSP,742,0,0,2004
Debi Ghosal,Barrackpore,0,Others,5125,INC,743,2585850,0,2004
Debojyoti Basu,Calcutta North East,0,12th Pass,5174,IND,744,750,0,2004
DEEPAK (BABA) ABASAHEB SHINDE MHAISALKAR,Sangli,0,Post Graduate,2643,BJP,745,22038000,911000,2004
DEEPAK BISWAS,Andaman & Nicobar Islands,0,Not Given,6,IND,746,3000,0,2004
DEEPAK KUMAR,Unnao,2,Graduate,4994,SP,747,21388000,522000,2004
DEEPAK KUMAR,Hardwar,0,Post Graduate,5048,INC,748,3932782,290419,2004
DEEPAK KUMAR SINGH,Khagaria,0,Graduate,648,IND,749,19000,0,2004
DEEPAK KUMAR SINGH,Keonjhar,0,12th Pass,2924,IND,750,149000,0,2004
DEKULE KANIFNATH DULHA,Osmanabad,0,12th Pass,2579,BSP,751,430000,2250,2004
DELKAR MOHANBHAI SANJIBHAI,Dadra & Nagar Haveli,0,12th Pass,1002,BNP,752,28619160,1296271,2004
DEO NATH YADAV,Jhanjharpur,4,12th Pass,623,SP,753,2005819,89308,2004
DEONARAYAN DAS,Saharsa,0,10th Pass,812,SHS,754,1240000,0,2004
DEORE RAJENDRASING BHIMSING,Erandol,4,10th Pass,2389,SP,755,1111500,12500,2004
DEOTALE CHANDRASHEKHAR DIGAMBAR,Chandrapur,0,Graduate Professional,2358,ARP,756,725000,0,2004
DEOVRAT MISHRA,Machhlishahr,0,Graduate,4629,INC,757,33990000,0,2004
DERHAGRA MOCHAHARY,Kokrajhar,0,12th Pass,379,INC,758,70738,328192,2004
DESHMUKH BHAGWAN RANGANATH,Kopargaon,0,Not Given,2448,IND,759,375000,23100,2004
DESHMUKH SUBHASH SURESHCHANDRA,Sholapur,0,10th Pass,2656,BJP,760,37495282,64522,2004
DESRAJ,Sirsa,0,5th Pass,1332,IND,761,91500,30000,2004
DEV KUMAR SAH,Kishanganj,0,10th Pass,660,IND,762,25523,0,2004
DEVARAYA NAIK G,Kanara,0,Graduate,1761,JD(S),763,4248000,230670,2004
DEVEGOWDA H D,Kanakapura,0,Graduate,1756,JD(S),764,11439574,3582262,2004
DEVEN DUTTA,Gauhati,0,Graduate,343,TNGP,765,2316500,77416,2004
DEVENDER BHADANA,Faridabad,0,10th Pass,1226,HVP,766,7873522,0,2004
DEVENDRA MUKHIA,Saharsa,2,10th Pass,807,IND,767,15000,0,2004
DEVENDRA PRASAD YADAV,Jhanjharpur,0,Graduate,621,RJD,768,1137321,245123,2004
DEVENDRA RAKESH,Muzaffarpur,1,Post Graduate,725,IND,769,5110574,11800,2004
DEVI BUX SINGH,Unnao,0,12th Pass,4995,BJP,770,15696054,200000,2004
DEVI DASS NAHAR,Jullundur,0,8th Pass,3041,BSP,771,426992,0,2004
DEVI DAYAL,Khurja,0,Post Graduate,4575,INC,772,16614248,1044040,2004
DEVI LAL,Bhiwani,0,10th Pass,1218,IND,773,9835579,2292500,2004
DEVI PRASAD,Deoria,0,Post Graduate,4201,BSP,774,1866783,0,2004
DEVIDAS PIRAJI SARKATE,Buldhana,0,Not Given,2345,IND,775,50000,0,2004
DEVVRAT SINGH,Rajnandgaon,0,Post Graduate,977,INC,776,11414118,228171,2004
DEWAKI SAH,Samastipur,0,5th Pass,822,IND,777,705750,0,2004
DHABE BHAGWAN NAMDEV,Jalna,0,Literate,2422,IND,778,150000,0,2004
DHAN SINGH RAWAT,Banswara,2,Graduate Professional,3136,BJP,779,1905788,250000,2004
DHANAJI BHIMA LAMANI,Bidar,0,Not Given,1680,RSPS,780,60000,0,2004
DHANANJAY SINGH,Jaunpur,9,Graduate,4450,LJNSP,781,1007900,0,2004
Dhananjoy Ghosh,Bolpur,0,Graduate,5160,INC,782,939568,14000,2004
DHANARAJU. K,Tindivanam,0,Doctorate,3749,PMK,783,2658860,0,2004
DHANESHAWAR LILHARE,Balaghat,0,Not Given,2003,IND,784,115000,0,2004
DHANI RAM,Kangra,0,Illiterate,1367,IND,785,381056,0,2004
DHANI RAM SHANDIL,Simla,0,Doctorate,1373,INC,786,9272958,958,2004
DHANRAJ,Chhindwara,0,Literate,2040,IND,787,18000,0,2004
DHANRAJ PATEL,Janjgir,0,12th Pass,939,AD,788,460000,0,2004
"DHANUSKODI ATHITHAN, R.",Tirunelveli,1,Post Graduate,3813,INC,789,16322132,5573213,2004
DHARAM PAL,Delhi Sadar,0,Others,2742,BSP,790,2601500,0,2004
DHARAM PAL SINGH MALIK,Sonepat,0,Post Graduate,1334,INC,791,7134286,15288,2004
DHARAM PAUL SHARMA,Chandigarh,0,Post Graduate,889,IND,792,2882817,0,2004
DHARAMDAS MAHILANG,Mahasamund,1,Graduate,954,IND,793,2915945,249095,2004
DHARAMPAL YADAV D.P.YADAV,Sambhal,1,Graduate,4909,RPD,794,109667170,0,2004
DHARMALINGAM MARUR. N,Cuddalore,0,8th Pass,3371,RLD,795,777000,0,2004
DHARMENDRA,Bikaner,0,12th Pass,3167,BJP,796,230326000,5428225,2004
DHARMENDRA PRADHAN,Deogarh,0,Post Graduate,2892,BJP,797,476756,306250,2004
DHARMESH PRASAD VERMA,Bettiah,0,Others,514,SJP(R),798,6000000,1544000,2004
DHIAN SINGH MAND,Ferozepur,0,Others,3011,SAD(M),799,87000,35000,2004
Dhibar Shova,Durgapur,0,Graduate,5251,INC,800,570000,0,2004
Dhiren Chandra Rajak,Purulia,0,Others,5395,JKP(N),801,100000,0,2004
DHIRENDRA AGARWAL,Chatra,1,Doctorate,1459,RJD,802,28085948,750000,2004
DHOBALE LAXMAN KONDIBA,Osmanabad,3,Post Graduate,2577,NCP,803,7998797,674054,2004
DHODI DHIRU RANCHHOD,Daman And Diu,0,Graduate,1014,BSP,804,500,0,2004
DHOTRE BHANUDAS SAKHARAM,Thane,0,12th Pass,2668,HJP,805,0,216678,2004
DHOTRE SANJAY SHAMRAO,Akola,0,Graduate Professional,2295,BJP,806,12289645,2408285,2004
DHRUBA KUMAR SAIKIA,Nowgong,0,Post Graduate,401,AGP,807,1866432,190382,2004
DHWAJEN BRAHMA,Gauhati,0,Graduate,347,IND,808,1361774,0,2004
DIAS JAWAHAR EMERCIANO,Mormugao,0,Post Graduate,1021,MAG,809,8033352,0,2004
DIBYA KISHORE DAS,Dhenkanal,0,Others,2901,IND,810,151000,0,2004
DIGVIJAY SINGH,Banka,0,Post Graduate,481,JD(U),811,20774629,429520,2004
DIJA RAJ TRIPURA,Tripura East,0,Others,3880,IND,812,0,0,2004
DILDAR HUSSIN BEG,Delhi Sadar,0,12th Pass,2754,IND,813,29573000,0,2004
DILEEP SANGHANI,Amreli,0,Post Graduate,1042,BJP,814,8529967,1881000,2004
Dilip Bhattacharya,Serampore,1,Graduate,5410,IND,815,2046308,37500,2004
DILIP KUMAR PANJIAR,Kishanganj,0,Graduate,659,IND,816,50000,0,2004
DILIP RAAJA DONEPUDI,Tenali,0,Graduate,250,BSP,817,0,0,2004
DILIPRAO D. PATIL,Mumbai North West,0,10th Pass,2516,BMSM,818,6210000,28000,2004
DIMBESWAR BORA,Kaliabor,0,Graduate,368,SP,819,1196000,0,2004
DINA NATH MANJHI,Gopalganj,0,Graduate,598,IND,820,288000,0,2004
Dinesh Chandra Sikdar,Burdwan,0,10th Pass,5168,BSP,821,0,0,2004
DINESH CHANDRA YADAV,Saharsa,1,10th Pass,804,JD(U),822,4396467,448483,2004
DINESH KATIWAL,Jalore,0,10th Pass,3226,BSP,823,2875000,0,2004
Dinesh Kumar Sharma,Barrackpore,0,Graduate,5130,IND,824,50000,0,2004
DINESH PRASAD CHAUDHARY,Muzaffarpur,0,Not Given,722,IND,825,0,0,2004
DINESH RAI,Maharajganj,0,Not Given,692,IND,826,1200,0,2004
DINSHA PATEL,Kaira,0,10th Pass,1132,INC,827,5727475,3083830,2004
DIP GOGOI,Kaliabor,0,Graduate,358,INC,828,342751,0,2004
Dipak Krishna Bhowmik,Jalpaiguri,0,Graduate,5288,INC,829,647210,0,2004
DIPEN TANTI,Tezpur,0,Graduate,420,IND,830,325000,0,2004
Dipti Barman,Balurghat,0,10th Pass,5100,INC,831,10500,0,2004
DIWAKAR DHONDBAJI PATNE,Nagpur,0,Graduate,2541,VJC,832,13226282,870000,2004
DIWAKAR GULAB PENDAM,Chandrapur,0,8th Pass,2354,IND,833,400000,0,2004
DIWAKAR LAL VANSHI,Bhagalpur,0,10th Pass,528,IND,834,26700,0,2004
DIWAKAR MANI TRIPATHI,Bettiah,0,Graduate,520,IND,835,524100,0,2004
DIWARE RAMDAS RAJERAM,Nagpur,0,Not Given,2542,IND,836,50000,0,2004
DNYANESHWAR RAURALE,Amravati,0,12th Pass,2308,ARP,837,305000,0,2004
DNYOSO KONDEKAR ALIAS VIJAYPRAKASH,Latur,0,Literate,2457,IND,838,100100,0,2004
DODDA KAMESWARA RAO,Machilipatnam,0,10th Pass,133,IND,839,1500000,0,2004
DODTALE BALASAHEB PRABHAKAR,Beed,0,Post Graduate,2332,RSPS,840,0,0,2004
DOMAKONDA RAVI KUMAR,Vijayawada,0,10th Pass,266,IND,841,405000,0,2004
DONEPUDI SRINIVAS,Vijayawada,0,Others,270,IND,842,131000,0,2004
DR D SURENDRANATH,Calicut,0,Doctorate,1838,IND,843,20000,0,2004
DR EDWARD EDEZHATH,Ernakulam,0,Post Graduate,1868,INC,844,1631540,0,2004
DR K KISHOREKUMAR,Mavelikara,0,Doctorate,1915,IND,845,335000,130000,2004
DR K N AJOYKUMAR,Badagara,0,Post Graduate,1831,IND,846,405000,12230,2004
DR LAXMINARAYAN PANDEYA,Mandsaur,0,Post Graduate,2173,BJP,847,2650506,726872,2004
DR MANJUNATH B R,Bangalore South,0,Not Given,1659,IND,848,0,0,2004
DR NITIN SOPANRAO WAGHE,Latur,0,Doctorate,2463,RSPS,849,20000,0,2004
DR P D RAJAN,Chirayinkil,0,Doctorate,1859,BSP,850,445146,0,2004
DR S VENUGOPALA CHARY,Adilabad,0,Others,14,TDP,851,11580000,1247053,2004
DR SHANMUGAM,Andaman & Nicobar Islands,0,Doctorate,8,LJNSP,852,6166416,67070,2004
DR SRIDHARA UDUPA,Davangere,0,Doctorate,1720,IND,853,1216579,0,2004
DR.  SHARDA HARIDAS SONAVANE,Pandharpur,0,Graduate,2588,IND,854,255000,0,2004
DR. AMRIT LAL BHARTI,Chail,0,Graduate Professional,4175,BJP,855,3543292,145128,2004
DR. ARUN GOPALRAO DESHPANDE,Chandrapur,0,Post Graduate,2360,IND,856,2152000,193000,2004
DR. ARUN KUMAR SARMAH,Lakhimpur,0,Not Given,381,AGP,857,1467028,0,2004
DR. BALIRAM,Lalganj,1,Post Graduate,4584,BSP,858,4714309,999669,2004
DR. BANMALA GOLPELWAR,Nagpur,1,Doctorate,2540,IND,859,3120000,133783,2004
DR. BARDE MACHHINDRANATH SURYABHAN,Dhule,0,Doctorate,2384,IND,860,420030,400000,2004
DR. BASANT PAHRE,Bilaspur,0,Not Given,909,INC,861,0,0,2004
DR. BHAGAWAN KHANDERAO ALIAS DR. B. K. YADAV,Satara,0,Doctorate,2655,LRP,862,3758027,88805,2004
DR. BHAGIRATHI KHUTE,Bilaspur,0,Not Given,912,GGP,863,0,0,2004
DR. BHAGWANDASS,Hardwar,0,Graduate Professional,5046,BSP,864,331888,0,2004
DR. BHIKKHOO R. D. K. PRAGYASHEEL,Balaghat,0,Not Given,1999,IND,865,0,0,2004
DR. BHISE INDRAKUMAR DEVRAO,Kopargaon,1,Doctorate,2447,RSPS,866,2831000,1185000,2004
DR. BHISE INDRAKUMAR DEVRAO,Ahmednagar,1,Doctorate,2291,RSPS,867,2919000,1200000,2004
DR. BIJENDRA KUMAR,Madhepura,1,Doctorate,669,IND,868,6100,0,2004
Dr. Bikram Sarkar,Howrah,0,Not Given,5262,AITC,869,5040000,49831,2004
DR. CHARANDAS MAHANT,Janjgir,0,Doctorate,927,INC,870,6871000,1161000,2004
Dr. Dhiren Mondal,Diamond Harbour,0,Post Graduate,5236,BSP,871,99322,0,2004
Dr. G. S. Yonzone,Darjeeling,0,Others,5221,BJP,872,3779800,0,2004
DR. G.RAGHAVULU,Nagarkurnool,0,Others,156,IND,873,135000,170000,2004
DR. GOVIND CHOUHAN,Sarangarh,0,Post Graduate,989,IND,874,0,0,2004
DR. GYANVATI SINGH,Mathura,0,Post Graduate,4664,RLD,875,2410768,0,2004
DR. H.T. SANGLIANA,Bangalore North,0,Graduate,1646,BJP,876,7666050,0,2004
DR. HARENDRA KUMAR,Vaishali,1,Doctorate,869,JD(U),877,480000,0,2004
DR. HARIKRISHNA PRASAD PANIKA,Sidhi,0,Post Graduate,2265,BSP,878,150586,0,2004
DR. HEERAMAN BANJARE,Raipur,0,Graduate,965,BSP,879,1849773,0,2004
DR. IRSHAD AHMAD KHAN,Purnea,0,Post Graduate,781,SP,880,10762267,0,2004
DR. JADHAV RAVI SAMPATRAO,Washim,0,Doctorate,2681,BSP,881,401586,210000,2004
DR. JAYANTA RONGPI,Autonomous District,0,Post Graduate,307,CPI(ML)(L),882,5768428,0,2004
DR. JOYASREE GOSWAMI MAHANTA,Dhubri,0,Doctorate,327,IND,883,15269365,0,2004
DR. K. H. JAMBHULKAR,Nagpur,1,Doctorate,2544,IND,884,1475218,0,2004
DR. K. L. RAY ( KISHANLAL),Morena,0,Doctorate,2185,SMSP,885,3118947,306329,2004
DR. K. P. SINGH,Faridabad,0,Doctorate,1227,IND,886,192500,0,2004
DR. K. S. MANOJ,Alleppey,0,Doctorate,1819,CPM,887,800231,54317,2004
DR. KALPANA PARULEKAR,Mandsaur,0,Doctorate,2175,NCP,888,64745,0,2004
DR. KARAN SINGH YADAV,Alwar,0,Post Graduate,3124,INC,889,4023529,1022864,2004
DR. KATHIRIA VALLABHBHAI RAMJIBHAI,Rajkot,0,Graduate Professional,1168,BJP,890,7971781,110729,2004
DR. KRISHAN MOHAN TRIPATHI,Azamgarh,0,Doctorate,3995,SBSP,891,1040746,0,2004
DR. KUMAR PUSHPANJAY,Nalanda,0,Doctorate,729,LJNSP,892,13771525,0,2004
DR. L. K. DESHBHARTAR,Seoni,0,Post Graduate,2240,BSP,893,1424695,0,2004
DR. LALTLUANGLIANA KHIANGTE,Mizoram,0,Doctorate,2718,IND,894,5604209,1130000,2004
DR. MAHACHANDRA PRASAD SINGH,Maharajganj,0,Doctorate,685,IND,895,3779612,387780,2004
DR. MASOOD AHMAD,Moradabad,0,Doctorate,4730,NLP,896,1200052,100000,2004
DR. MEHBOOB BEG,Anantnag,0,Doctorate,1377,JKN,897,46545000,494000,2004
DR. MOHD UMAR,Balrampur,1,Doctorate,4046,SP,898,3644853,0,2004
DR. MONAZIR HASSAN,Monghyr,0,Doctorate,695,JD(U),899,316298,163410,2004
DR. MOTIUR RAHMAN MONDAL,Dhubri,0,Doctorate,325,IND,900,1951136,0,2004
DR. MUKUL SANGMA,Tura,0,Graduate Professional,2716,INC,901,6844482,0,2004
DR. MURALI MANOHAR JOSHI,Allahabad,1,Post Graduate,3934,BJP,902,19031323,0,2004
DR. N. VENKATA SWAMY,Tirupathi,0,Post Graduate,256,BJP,903,7127164,0,2004
DR. NATAWADKAR SUHAS JAYANT,Nandurbar,0,Doctorate,2563,BJP,904,4385000,1125000,2004
Dr. Nirmal Kumar Maji,Bolpur,0,Doctorate,5159,AITC,905,114500,250000,2004
DR. NIRMAL SINGH,Jammu,0,Doctorate,1397,BJP,906,458748,0,2004
DR. P. POOKUNHIKOYA,Lakshadweep,0,Graduate Professional,1990,JD(U),907,3945099,103145,2004
DR. P.L. PREMI,Karol Bagh,0,Doctorate,2790,IND,908,1298160,68000,2004
DR. PARAMESHWAR REDDY,Kurnool,0,Graduate Professional,124,PPOI,909,78000,0,2004
DR. PATIL SANJAY (DADA) SHAMRAO,Ichalkaranji,0,Doctorate,2399,SHS,910,21607010,4340958,2004
DR. PRITAM PRASAD CHAUDHARY,Morena,1,Doctorate,2184,BSP,911,1593196,15000,2004
DR. RAJESH KUMAR MISHRA,Varanasi,0,Not Given,5009,INC,912,1241800,400000,2004
DR. RAMESH BHUKAL,Sirsa,0,Doctorate,1329,BSP,913,2420600,853000,2004
DR. RAMKRISHNA KUSHMARIYA ( BABA JEE ),Khajuraho,0,Doctorate,2138,BJP,914,5183173,986766,2004
DR. RAMKUMAR SIRMOR,Raipur,1,Not Given,966,IND,915,3200000,0,2004
DR. RAMKUMAR TRIPATHI ( SEETI),Bhind,0,Doctorate,2021,IND,916,48000,0,2004
DR. RAMLAKHAN SINGH,Bhind,1,Graduate Professional,2012,BJP,917,5774939,284945,2004
DR. RAMSAKHA VERMA,Rewa,0,Graduate Professional,2208,IND,918,220000,0,2004
Dr. Ranjit Kumar Panja,Barasat,0,Doctorate,5114,AITC,919,9311793,0,2004
DR. RAVURI VENKATA SWAMY,Chittoor,0,Graduate,47,INC,920,11815429,228886,2004
DR. S RAMEGOWDA,Mandya,0,Doctorate,1781,JD(S),921,11827740,765000,2004
DR. SALAM HARISHCHANDRA BHIVRAM,Bhandara,0,Literate,2339,GGP,922,3671118,0,2004
DR. SANJAY KUMAR GUPTA,Chandni Chowk,0,Post Graduate,2732,SHS,923,279000,884152,2004
DR. SATYANARAYAN JATIYA,Ujjain,0,Doctorate,2270,BJP,924,2794387,0,2004
DR. SEBASTIAN PAUL,Ernakulam,0,Doctorate,1867,IND,925,2993000,764304,2004
DR. SHAFIQURRAHMAN BARQ,Moradabad,0,Graduate,4727,SP,926,1349151,0,2004
DR. SHAKEEL AHMAD,Madhubani,0,Graduate Professional,673,INC,927,1859000,300000,2004
DR. SHRIKANT JICHKAR,Ramtek,4,Doctorate,2629,INC,928,26884089,2043398,2004
DR. SITA RAM SINGH,Chatra,0,Graduate Professional,1465,IND,929,1129000,17442,2004
DR. SUDARSAN LOHAR,Keonjhar,0,12th Pass,2922,IND,930,1732699,0,2004
DR. SUDHA YADAV,Mahendragarh,0,Post Graduate,1288,BJP,931,6589242,1420864,2004
DR. SUNIL TUKARAM TORNE,Mumbai North East,0,Not Given,2494,BSP,932,920000,810000,2004
DR. SUSHIL INDORA,Sirsa,0,Doctorate,1326,INLD,933,6020496,1397181,2004
DR. SYED ROSHAN MULLA,Dharwad South,0,Post Graduate,1736,BSP,934,0,0,2004
DR. TARA PRASAD DAS,Barpeta,0,12th Pass,316,IND,935,24725263,6855406,2004
DR. THOKCHOM MEINYA,Inner Manipur,0,Doctorate,2700,INC,936,1107278,80660,2004
DR. ULHAS VASUDEO PATIL,Jalgaon,0,Graduate,2404,INC,937,28599365,7673660,2004
DR. VASANT RUSHI MAHESHKAR (MASRAM),Chandrapur,0,Graduate,2355,BBM,938,961000,150000,2004
DR. VIDYANAND TIWARI,Janjgir,0,Not Given,931,IND,939,100000,0,2004
DR.DHARMAPUR SAMPATH RAJARAM YADAV,Hanamkonda,0,Others,84,IND,940,7700000,0,2004
DR.M.V.V.S.MURTHY,Visakhapatnam,0,Not Given,273,TDP,941,27339275,0,2004
DR.MANDA JAGANNATH,Nagarkurnool,0,Post Graduate,152,TDP,942,6545314,2339000,2004
DR.MT. C. SUGUNA,Peddapalli,0,Post Graduate,209,TDP,943,50279356,0,2004
DR.URMILA MARKO,Janjgir,0,Graduate,929,GGP,944,0,0,2004
DRUPAD BORGOHAIN,Jorhat,0,Graduate,353,CPI,945,546000,0,2004
DSOUZA WILFRED,Panaji,0,Graduate Professional,1025,NCP,946,17153854,44045,2004
DUBEY SATYADEV,Mumbai North West,0,Post Graduate,2515,IND,947,3599635,0,2004
DUGGIRALA RAJA  RAMKUMAR,Tenali,0,Post Graduate,253,IND,948,1500000,0,2004
DUGGIREDDY DHARMA REDDY,Rajahmundry,0,Not Given,219,IND,949,59500,0,2004
DUKHA BHAGAT,Lohardaga,1,Post Graduate,1580,BJP,950,34466,0,2004
DUKHI RAM,Sasaram,1,12th Pass,829,CPI(ML)(L),951,38000,0,2004
DULAL CHANDRA BARUAH,Jorhat,0,Graduate,355,AGP,952,573068,0,2004
Dulal Chandra Das,Barasat,0,12th Pass,5116,BSP,953,2530000,0,2004
DULI CHAND MALIK,Karnal,0,Post Graduate,1267,IND,954,1900000,327000,2004
DUNNA JANARDHANA RAO,Amalapuram,0,Graduate,18,TDP,955,988000,60000,2004
DURGA PRASAD YADAV,Azamgarh,0,Doctorate,3993,SP,956,3238633,86413,2004
DUSHYANT SINGH,Jhalawar,0,Post Graduate,3227,BJP,957,7082067,0,2004
DUTIKRISHNA PADHI,Aska,0,10th Pass,2857,IND,958,110000,0,2004
DWARIKA SINGH,Patna,0,Graduate,769,VJP,959,665000,0,2004
E.  V.  ALIAS BALASAHEB VIKHE PATIL,Kopargaon,0,10th Pass,2443,INC,960,36937860,764653,2004
E. P. ATTAKOYA THANGAL,Lakshadweep,0,Post Graduate,1992,JP,961,2461634,0,2004
EKBAL SIDDIQUI,Balrampur,0,Post Graduate,4048,INC,962,2597359,0,2004
EKNATH M. GAIKWAD,Mumbai North Central,0,10th Pass,2485,INC,963,2045861,0,2004
"ELANGOVAN, E. V. K. S.",Gobichettipalayam,13,Graduate,3396,INC,964,5031000,0,2004
ELANGOVAN. P. D.,Dharmapuri,5,Graduate,3376,BJP,965,865838,770223,2004
ELWIN TERON,Autonomous District,0,Post Graduate,306,ASDC,966,716926,0,2004
ENGG. JADHAV GOVIND SHANKAR,Dhule,0,Graduate,2385,BSP,967,8462430,213176,2004
ENGG.RAMESHWAR KHARE,Bilaspur,0,Not Given,911,BSP,968,0,0,2004
ENGI. DUSHYANT ATHAWALE,Aurangabad,0,10th Pass,2322,PRP,969,1122637,0,2004
ER. KUTHE YOGRAJ KRISHNAJI,Chimur,0,Post Graduate,2364,BSP,970,4870000,125000,2004
FAGGAN SINGH KULASTE,Mandla,0,Post Graduate,2164,BJP,971,3091035,0,2004
FAIYAZUL AZAM,Bettiah,0,Doctorate,512,BSP,972,2778941,52921,2004
FANI LAL SAH,Banka,0,8th Pass,484,IND,973,242172,0,2004
FARID MAHFOOZ KI,Kaiserganj,0,Post Graduate,4508,BSP,974,2011852,461922,2004
FAZLUL BARI ALIAS BANNE BHAI,Gonda,0,Post Graduate,4348,BSP,975,200417,0,2004
FERNANDES EDWIN,Mormugao,0,Graduate Professional,1019,IND,976,155500,0,2004
FRIDA TOPNO,Sundargarh,0,Post Graduate,2950,INC,977,458520,0,2004
FURKAN ANSARI,Godda,3,Graduate,1516,INC,978,1499897,800000,2004
G MADAPPA,Shimoga,0,Graduate,1800,JD(S),979,3895250,0,2004
G. KARUNAKARA REDDY,Bellary,0,Graduate,1668,BJP,980,10930950,416228,2004
G. RAMCHANDRAIAH YADAV,Mahabubnagar,0,Others,138,BSP,981,182,0,2004
G. S. CHAWALA,Bhopal,0,Graduate,2029,BSP,982,3929669,0,2004
G. VENKAT SWAMY,Peddapalli,0,10th Pass,208,INC,983,19464700,0,2004
G.M. SIDDESWARA,Davangere,0,10th Pass,1717,BJP,984,50282989,0,2004
G.R.RANA,Kanker,0,Post Graduate,944,SP,985,1218410,195903,2004
G.RAVINDRANATHA REDDY,Cuddapah,0,8th Pass,63,JP,986,1811500,310000,2004
G.SUBASH CHANDERJI,Hyderabad,0,Others,90,BJP,987,338000,0,2004
G.VENKATESH,Bobbili,0,Graduate,45,TRS,988,38000,0,2004
GADAGE GANPATRAO MARUTI,Khed,0,10th Pass,2433,RSPS,989,95000,0,2004
GADAKH TUKARAM GANGADHAR,Ahmednagar,2,Graduate,2288,NCP,990,23446680,4680000,2004
GADDALA NAGABHUSHANAM,Anantapur,0,Graduate,27,BSP,991,97000,9000,2004
GADDIGOUDAR PARVATAGOUDA CHANDANAGOUDA,Bagalkot,0,Graduate Professional,1641,BJP,992,5375000,1000000,2004
GADE JHANSI,Warangal,0,Graduate,287,IND,993,0,0,2004
GADEKAR RAMU,Jalna,0,Not Given,2413,BBM,994,0,0,2004
GADHAVI PUSHPADAN SHAMBHUDAN,Kutch,0,Graduate Professional,1140,BJP,995,9730221,719633,2004
GAFFAR MASTER,Parbhani,0,10th Pass,2595,SP,996,1170000,300000,2004
Gaikwad Jayawnt Dharmaji,Pune,2,Graduate,2604,BSP,997,245000,90000,2004
GAIKWAD SURESH DNYANOBA,Nanded,1,10th Pass,2551,BBM,998,1050000,637000,2004
GAIKWAD VITTHAL BABURAO,Pune,0,12th Pass,2613,IND,999,10000,0,2004
GAJANAN NAGORAO LONDE,Amravati,0,8th Pass,2311,IND,1000,73500,0,2004
GANAPATI TUKARAM KAMBLE (G.T.),Sangli,0,10th Pass,2647,IND,1001,60000,0,2004
GANDHI NATH,Dhubri,0,Graduate,331,IND,1002,131000,0,2004
GANESAN. L,Tiruchirappalli,2,Graduate Professional,3799,MDMK,1003,1900000,0,2004
Ganesh Das,Barrackpore,4,10th Pass,5134,IND,1004,1808219,150315,2004
GANESH PRASAD SINGH,Jahanabad,0,Post Graduate,607,RJD,1005,8990298,294350,2004
GANESH SINGH,Satna,2,Post Graduate,2224,BJP,1006,2548143,236038,2004
GANESH YADAV,Balia,0,Graduate,473,BSP,1007,2131099,0,2004
GANGACHARAN RAJPUT,Hamirpur,1,Post Graduate,4372,INC,1008,7120394,246072,2004
GANGADHARAPPA S L,Kolar,0,Graduate Professional,1768,JD(S),1009,6454942,108528,2004
GANPAT SARAIPALI,Mahasamund,0,Not Given,952,IND,1010,0,0,2004
GARBADE PARMESHWAR,Jalna,0,Graduate,2418,IND,1011,15000,18000,2004
GATLA VENKATA NARAYANA REDDY,Vijayawada,0,Post Graduate,269,IND,1012,615000,0,2004
GAURI SHANKAR CHATURBHUJ BISEN,Balaghat,0,Post Graduate,1994,BJP,1013,9667350,1491190,2004
GAUTAM RAMCHNADRA JANBANDHU,Chimur,0,Not Given,2374,PRCP,1014,40000,0,2004
Gautam Saha,Howrah,0,12th Pass,5273,IND,1015,88034,0,2004
GAUTAM SOMAJI MORE,Erandol,0,Graduate,2388,BSP,1016,15500,250000,2004
GAVIT JIVA PANDU,Malegaon,4,12th Pass,2468,CPM,1017,3078324,0,2004
GAVIT RAMDAS RUPLA,Dhule,0,Post Graduate,2383,BJP,1018,1384335,0,2004
GAVIT SOBAJI DEVALYA,Nandurbar,0,Post Graduate,2566,LRP,1019,250000,0,2004
GAVLI SITARAM,Dadra & Nagar Haveli,0,Graduate,1003,INC,1020,9246142,191667,2004
GAWAI RAVINDRA TULSHIRAM,Jalgaon,0,Graduate,2405,BSP,1021,0,0,2004
GAWALI (PATIL) KU.  BHAVANA PUNDLIKRAO,Washim,1,Graduate,2679,SHS,1022,18808750,748904,2004
GAZI AMANULLA MUBIN KHAN,Malegaon,0,Literate,2469,BSP,1023,0,0,2004
GAZI ATEJAAD AH. KHAN MUBIN AHMED KHAN,Malegaon,0,5th Pass,2471,NLP,1024,0,0,2004
