Candidate,Constituency,Criminal Cases,Education,ID,Party,Sno,Total Assets,Total Liabilities,Year,ST_CODE,PC_CODE
Santosh Kumar,AURANGABAD,2,Graduate,378,BSP,6463,130000,0,2014,S04,37
Santosh Kumar,BADAUN,0,Not Given,3068,RPI(A),6464,857849,0,2014,S24,23
Santosh Kumar,MIRZAPUR,0,Graduate,9715,Samyak Parivartan Party,6465,524500,0,2014,S24,79
Santosh Kumar,VARANASI,0,8th Pass,9759,Rashtriya Vikas Manch Party,6466,211200,0,2014,S24,77
Santosh Kumar Dharkar,MOHANLALGANJ,0,Graduate Professional,6721,Indian National League,6467,100000,0,2014,S24,34
Santosh Kumar Dhruw,KANKER,0,Graduate,2791,AAP,6468,195543,0,2014,S26,11
Santosh Kumar Garg,INDORE,0,12th Pass,4192,IND,6469,695000,0,2014,S12,26
Santosh Kumar Gautam,AZAMGARH,0,Others,9489,Manavtawadi Samaj Party,6470,511500,195000,2014,S24,69
Santosh Kumar Singh,PRATAPGARH,0,12th Pass,8092,AITC,6471,224890,0,2014,S24,39
Santosh Kumari,GURDASPUR,0,12th Pass,7657,Megh Desham Party,6472,602556,0,2014,S19,1
Santosh Madhukar Roham,SHIRDI,0,Graduate,3678,Bahujan Mukti Party,6473,3430530,901903,2014,S13,38
Santosh Manjunath Shet(Raikar),BELGAUM,0,10th Pass,2109,IND,6474,3592220,0,2014,S10,2
Santosh Manohar Bavadekar,BELGAUM,1,Graduate,2102,IND,6475,115082,0,2014,S10,2
Santosh Namdeorao Sagne,HINGOLI,0,Others,3868,Awami Vikas Party,6476,1671000,1035000,2014,S13,15
Santosh Pawar,PUNE,0,Graduate,3640,IND,6477,3229500,0,2014,S13,34
Santosh Rana,GHATAL,0,Graduate,9363,CPI,6478,3432124,0,2014,S25,32
Santosh Roy,BARDHAMAN PURBA,0,8th Pass,6011,BJP,6479,172339,0,2014,S25,38
Santraj Singh,BHADOHI,0,12th Pass,8691,IND,6480,1739942,0,2014,S24,78
Santram,DOMARIYAGANJ,0,Literate,9576,Bharatiya Rashtriya Bahujan Samaj Vikas Party,6481,130000,0,2014,S24,60
Sanwar Lal,AJMER,0,5th Pass,3413,NCP,6482,1092020,0,2014,S20,13
Sanwar Lal Jat,AJMER,0,Doctorate,3412,BJP,6483,18064656,0,2014,S20,13
Sapa Rafikbhai Sulemanbhai,BHARUCH,5,5th Pass,5303,IND,6484,186000,0,2014,S06,22
Sapara Vipulbhai Rameshbhai,SURENDRANAGAR,0,10th Pass,6581,IND,6485,76500,0,2014,S06,9
Sapkal Lilabai Dharma,JALNA,0,Not Given,7624,IND,6486,410000,0,2014,S13,18
Sarabjeet Singh,FATEHGARH SAHIB,0,12th Pass,6139,BSP,6487,36550000,120000,2014,S19,8
Sarada Moni Samanta,BARDHAMAN-DURGAPUR,0,Post Graduate,6790,IND,6488,1400000,0,2014,S25,39
Sarah Joseph,THRISSUR,0,Post Graduate,1911,AAP,6489,4122398,0,2014,S11,10
Sarangthem Manaobi,INNER MANIPUR,0,Post Graduate,3480,AITC,6490,920000,0,2014,S14,1
Saraswathi S.,KANNIYAKUMARI,0,10th Pass,7028,IND,6491,560000,0,2014,S22,39
"Saraswathy, K.",KARUR,0,Illiterate,7043,CPI(ML) Red Star,6492,735815,0,2014,S22,23
Saraswati,KANPUR,0,12th Pass,6682,IND,6493,45912,0,2014,S24,43
Saraswati Nanda,BOLANGIR,0,Post Graduate,1147,AAP,6494,279095,0,2014,S18,10
Sarat Babu Surapaneni,VIJAYAWADA,0,Illiterate,9021,IND,6495,2077981,0,2014,S01,29
Sarat Chandra Mandal,BANGAON,0,12th Pass,9778,Rashtriya Ahinsa Manch,6496,400000,0,2014,S25,14
Sarat Das,BHADRAK,0,Post Graduate,3250,BJP,6497,1241350,309933,2014,S18,7
Sarat Pattnayak,BOLANGIR,0,Graduate Professional,222,INC,6498,43999656,818572,2014,S18,10
Saravanan,ANDAMAN & NICOBAR ISLANDS,0,Graduate,583,IND,6499,236000,0,2014,U01,1
Saravanan.P,TIRUNELVELI,0,12th Pass,7594,IND,6500,83586,0,2014,S22,38
Saravanan.V,KRISHNAGIRI,0,10th Pass,7070,IND,6501,6166935,1950000,2014,S22,9
Sarbananda Sonowal,LAKHIMPUR,0,Graduate Professional,517,BJP,6502,14497515,0,2014,S03,14
Sarfaraj,JAUNPUR,0,10th Pass,9645,Peace Party,6503,13993500,0,2014,S24,73
Sargun Sah,BANKA,0,8th Pass,4466,IND,6504,1824000,0,2014,S04,27
Sarika,NAGINA,2,Graduate,3147,AAP,6505,400000,0,2014,S24,5
Sarisa Leela Prasanna Kumari,ANAKAPALLE,0,8th Pass,8851,Pyramid Party of India,6506,370000,0,2014,S01,22
